# chronologia named-period registry — International Chronostratigraphic Chart
#
# Source: ICS International Chronostratigraphic Chart, version 2023/09
#   https://stratigraphy.org/ICSchart/ChronostratChart2023-09.pdf
# Numeric boundary ages: Macrostrat "international intervals" timescale
#   (https://macrostrat.org/api/v2/defs/intervals, CC-BY 4.0), whose ages
#   track the ICS 2023/09 chart (Jurassic 201.4->143.1 Ma, Phanerozoic base
#   538.8 Ma, Holocene base 0.0117 Ma == 11.7 ka all verified against the chart).
# Downloaded: 2026-07-21
#
# CHART VERSION: 2023/09
#
# Ages are in millions of years (Ma) before the Before-Present epoch (AD 1950,
# Stuiver & Polach 1977). Each entry is a chronostratigraphic unit spanning its
# base (b_age, older) down to its top (t_age, younger). Endpoint AstroDate years
# are 1950 - age*1e6, so the span lives on the deep-time BP axis; basis is
# "tabulated". Published GSSP boundary uncertainties (b_unc/t_unc, Ma) are folded
# OUTWARD into the endpoints (start widened to b_age+b_unc, end to t_age-t_unc),
# so the span covers the full published uncertainty envelope. Uncertainties are
# populated for the ratified GSSP boundaries cited in ICS 2023/09 / GTS2020 and
# left 0.0 where the chart states no formal +/- (the mechanism, not exhaustive
# coverage, is what these demonstrate). Parent hierarchy (eon>era>period>epoch>
# age) is derived at load time by containment, not stored.
#
# Format: 7 tab-separated columns:
#   key<TAB>name<TAB>level<TAB>b_age_ma<TAB>t_age_ma<TAB>b_unc_ma<TAB>t_unc_ma
#   level in {eon, era, period, epoch, age}
#
key	name	level	b_age_ma	t_age_ma	b_unc_ma	t_unc_ma
archean	Archean	eon	4031	2500	0.0	0.0
proterozoic	Proterozoic	eon	2500	538.8	0.0	0.2
phanerozoic	Phanerozoic	eon	538.8	0	0.2	0.0
eoarchean	Eoarchean	era	4031	3600	0.0	0.0
paleoarchean	Paleoarchean	era	3600	3200	0.0	0.0
mesoarchean	Mesoarchean	era	3200	2800	0.0	0.0
neoarchean	Neoarchean	era	2800	2500	0.0	0.0
paleoproterozoic	Paleoproterozoic	era	2500	1600	0.0	0.0
mesoproterozoic	Mesoproterozoic	era	1600	1000	0.0	0.0
neoproterozoic	Neoproterozoic	era	1000	538.8	0.0	0.2
paleozoic	Paleozoic	era	538.8	251.902	0.2	0.024
mesozoic	Mesozoic	era	251.902	66	0.024	0.05
cenozoic	Cenozoic	era	66	0	0.05	0.0
siderian	Siderian	period	2500	2300	0.0	0.0
rhyacian	Rhyacian	period	2300	2050	0.0	0.0
orosirian	Orosirian	period	2050	1800	0.0	0.0
statherian	Statherian	period	1800	1600	0.0	0.0
calymmian	Calymmian	period	1600	1400	0.0	0.0
ectasian	Ectasian	period	1400	1200	0.0	0.0
stenian	Stenian	period	1200	1000	0.0	0.0
tonian	Tonian	period	1000	720	0.0	0.0
cryogenian	Cryogenian	period	720	635	0.0	0.0
ediacaran	Ediacaran	period	635	538.8	0.0	0.2
cambrian	Cambrian	period	538.8	486.85	0.2	0.0
ordovician	Ordovician	period	486.85	443.1	0.0	0.0
silurian	Silurian	period	443.1	419.62	0.0	0.0
devonian	Devonian	period	419.62	358.86	0.0	0.0
carboniferous	Carboniferous	period	358.86	298.9	0.0	0.15
permian	Permian	period	298.9	251.902	0.15	0.024
triassic	Triassic	period	251.902	201.4	0.024	0.2
jurassic	Jurassic	period	201.4	143.1	0.2	0.0
cretaceous	Cretaceous	period	143.1	66	0.0	0.05
paleogene	Paleogene	period	66	23.04	0.05	0.0
neogene	Neogene	period	23.04	2.58	0.0	0.0
quaternary	Quaternary	period	2.58	0	0.0	0.0
terreneuvian	Terreneuvian	epoch	538.8	521	0.2	0.0
series_2	Series 2	epoch	521	506.5	0.0	0.0
miaolingian	Miaolingian	epoch	506.5	497	0.0	0.0
furongian	Furongian	epoch	497	486.85	0.0	0.0
early_ordovician	Early Ordovician	epoch	486.85	471.3	0.0	0.0
middle_ordovician	Middle Ordovician	epoch	471.3	458.2	0.0	0.0
late_ordovician	Late Ordovician	epoch	458.2	443.1	0.0	0.0
llandovery	Llandovery	epoch	443.1	432.9	0.0	0.0
wenlock	Wenlock	epoch	432.9	426.7	0.0	0.0
ludlow	Ludlow	epoch	426.7	422.7	0.0	0.0
pridoli	Pridoli	epoch	422.7	419.62	0.0	0.0
early_devonian	Early Devonian	epoch	419.62	393.47	0.0	0.0
middle_devonian	Middle Devonian	epoch	393.47	382.31	0.0	0.0
late_devonian	Late Devonian	epoch	382.31	358.86	0.0	0.0
mississippian	Mississippian	epoch	358.86	323.4	0.0	0.0
pennsylvanian	Pennsylvanian	epoch	323.4	298.9	0.0	0.15
cisuralian	Cisuralian	epoch	298.9	274.4	0.15	0.0
guadalupian	Guadalupian	epoch	274.4	259.51	0.0	0.0
lopingian	Lopingian	epoch	259.51	251.902	0.0	0.024
early_triassic	Early Triassic	epoch	251.902	246.7	0.024	0.0
middle_triassic	Middle Triassic	epoch	246.7	237	0.0	0.0
late_triassic	Late Triassic	epoch	237	201.4	0.0	0.2
early_jurassic	Early Jurassic	epoch	201.4	174.7	0.2	0.0
middle_jurassic	Middle Jurassic	epoch	174.7	161.5	0.0	0.0
late_jurassic	Late Jurassic	epoch	161.5	143.1	0.0	0.0
early_cretaceous	Early Cretaceous	epoch	143.1	100.5	0.0	0.0
late_cretaceous	Late Cretaceous	epoch	100.5	66	0.0	0.05
paleocene	Paleocene	epoch	66	56	0.05	0.0
eocene	Eocene	epoch	56	33.9	0.0	0.0
oligocene	Oligocene	epoch	33.9	23.04	0.0	0.0
miocene	Miocene	epoch	23.04	5.333	0.0	0.0
pliocene	Pliocene	epoch	5.333	2.58	0.0	0.0
pleistocene	Pleistocene	epoch	2.58	0.0117	0.0	0.0
holocene	Holocene	epoch	0.0117	0	0.0	0.0
fortunian	Fortunian	age	538.8	529	0.2	0.0
stage_2	Stage 2	age	529	521	0.0	0.0
stage_3	Stage 3	age	521	514.5	0.0	0.0
stage_4	Stage 4	age	514.5	506.5	0.0	0.0
wuliuan	Wuliuan	age	506.5	504.5	0.0	0.0
drumian	Drumian	age	504.5	500.5	0.0	0.0
guzhangian	Guzhangian	age	500.5	497	0.0	0.0
paibian	Paibian	age	497	494.2	0.0	0.0
jiangshanian	Jiangshanian	age	494.2	491	0.0	0.0
stage_10	Stage 10	age	491	486.85	0.0	0.0
