# chronologia — coarse IntCal20 radiocarbon calibration curve
#
# Source: IntCal20 Northern Hemisphere atmospheric 14C calibration curve,
#   Reimer et al. 2020, Radiocarbon 62, doi:10.1017/RDC.2020.41
#   https://intcal.org/curves/intcal20.14c
# Downloaded: 2026-07-21
#
# COARSENESS / HONESTY NOTE: this is the full 1-yr IntCal20 curve DECIMATED to
# every 100th cal-BP sample (0..55000 cal BP). It exists to demonstrate that
# 14C BP and cal BP are distinct reckonings bridged by a tabulated, uncertainty-
# bearing conversion. `calibrate_c14` does a nearest-sample lookup on this coarse
# grid, NOT a probabilistic OxCal/Bayesian calibration: no full-resolution
# curve, no measurement error propagation, no highest-posterior-density
# intervals. Use it as a coarse locator on the BP axis, never as a substitute
# for OxCal/CALIB for real radiocarbon work. basis of results is "reconstructed".
#
# The curve maps a calendar age (cal BP, before AD 1950) to the atmospheric
# radiocarbon age a sample of that calendar age would yield, with a 1-sigma
# uncertainty. Columns:
#   cal_bp<TAB>c14_bp<TAB>sigma_14c
# cal_bp: calendar years before AD 1950 (the sampled grid, step 100).
# c14_bp: mean conventional radiocarbon age (14C yr BP) at that calendar age.
# sigma_14c: 1-sigma of the curve's 14C age at that point (14C yr).
#
cal_bp	c14_bp	sigma_14c
0	199.0	11.0
100	124.0	10.0
200	177.0	10.0
300	252.0	10.0
400	309.0	10.0
500	429.0	10.0
600	590.0	10.0
700	809.0	11.0
800	944.0	11.0
900	936.0	10.0
1000	1126.0	13.0
1100	1194.0	13.0
1200	1301.0	10.0
1300	1396.0	13.0
1400	1537.0	13.0
1500	1583.0	11.0
1600	1714.0	12.0
1700	1775.0	12.0
1800	1887.0	14.0
1900	1981.0	14.0
2000	2070.0	14.0
2100	2113.0	15.0
2200	2227.0	17.0
2300	2211.0	13.0
2400	2409.0	14.0
2500	2482.0	14.0
2600	2462.0	12.0
2700	2496.0	11.0
2800	2739.0	12.0
2900	2815.0	16.0
3000	2889.0	16.0
3100	2934.0	15.0
3200	2996.0	15.0
3300	3057.0	16.0
3400	3195.0	15.0
3500	3322.0	11.0
3600	3388.0	11.0
3700	3465.0	19.0
3800	3472.0	19.0
3900	3606.0	16.0
4000	3705.0	17.0
4100	3771.0	15.0
4200	3816.0	16.0
4300	3895.0	17.0
4400	3894.0	16.0
4500	3994.0	16.0
4600	4113.0	17.0
4700	4155.0	15.0
4800	4146.0	15.0
4900	4381.0	15.0
5000	4439.0	15.0
5100	4507.0	16.0
5200	4464.0	14.0
5300	4549.0	16.0
5400	4672.0	15.0
5500	4799.0	16.0
5600	4907.0	14.0
5700	4968.0	15.0
5800	5084.0	16.0
5900	5103.0	19.0
6000	5276.0	17.0
6100	5270.0	21.0
6200	5385.0	17.0
6300	5520.0	19.0
6400	5623.0	17.0
6500	5743.0	20.0
6600	5773.0	17.0
6700	5890.0	22.0
6800	6003.0	18.0
6900	6058.0	18.0
7000	6142.0	20.0
