# civil-holidays v1
# jurisdiction: AI
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Anguilla
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_AI via vacanza's own language support (language='en_AI'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | James Ronald Webster Day                 | 3 2                  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Sunday                            | 0 gregorian          | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
fixed         | Labour Day                               | 5 1                  | public          |  |  |  |
easter        | Whit Monday                              | 50 gregorian         | public          |  |  |  |
fixed         | Anguilla Day                             | 5 30                 | public          |  |  |  |
nth_weekday | Celebration of the Birthday of His Majesty the King | 6 3 0 | public |  |  |  | 
nth_weekday | August Monday | 8 1 0 | public |  |  |  | 
weekday_onbefore | August Thursday | 8 8 3 | public |  |  |  | 
weekday_onbefore | Constitution Day | 8 9 4 | public |  |  |  | 
fixed         | National Heroes and Heroines Day         | 12 19                | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
decree        | Special Public Holiday                   | 2025-2-28            | public          |  |  |  |
