# civil-holidays v1
# jurisdiction: AX
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Aland_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in fi via vacanza's own language support (language='fi'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Uudenvuodenpäivä                         | 1 1                  | public          |  |  |  |
fixed         | Loppiainen                               | 1 6                  | public          |  |  |  |
easter        | Pitkäperjantai                           | -2 gregorian         | public          |  |  |  |
easter        | Pääsiäispäivä                            | 0 gregorian          | public          |  |  |  |
easter        | Toinen pääsiäispäivä                     | 1 gregorian          | public          |  |  |  |
fixed         | Vappu                                    | 5 1                  | public          |  |  |  |
easter        | Helatorstai                              | 39 gregorian         | public          |  |  |  |
easter        | Helluntaipäivä                           | 49 gregorian         | public          |  |  |  |
fixed         | Ahvenanmaan itsehallintopäivä            | 6 9                  | public          |  |  |  |
weekday_onbefore | Juhannusaatto | 6 25 4 | public |  |  |  | 
weekday_onbefore | Juhannuspäivä | 6 26 5 | public |  |  |  | 
decree        | Pyhäinpäivä                              | 2024-11-2 2025-11-1 2026-10-31 2027-11-6  | public          |  |  |  |
fixed         | Itsenäisyyspäivä                         | 12 6                 | public          |  |  |  |
fixed         | Jouluaatto                               | 12 24                | public          |  |  |  |
fixed         | Joulupäivä                               | 12 25                | public          |  |  |  |
fixed         | Tapaninpäivä                             | 12 26                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Runebergin päivä | 2 5 | unofficial |  |  |  |
fixed  | Minna Canthin päivä, tasa-arvon päivä | 3 19 | unofficial |  |  |  |
fixed  | Mikael Agricolan päivä, suomen kielen päivä | 4 9 | unofficial |  |  |  |
fixed  | Kansallinen veteraanipäivä | 4 27 | unofficial |  |  |  |
fixed  | Eurooppa-päivä | 5 9 | unofficial |  |  |  |
fixed  | J.V. Snellmanin päivä, suomalaisuuden päivä | 5 12 | unofficial |  |  |  |
fixed  | Eino Leinon päivä, runon ja suven päivä | 7 6 | unofficial |  |  |  |
fixed  | Miina Sillanpään ja kansalaisvaikuttamisen päivä | 10 1 | unofficial |  |  |  |
fixed  | Aleksis Kiven päivä, suomalaisen kirjallisuuden päivä | 10 10 | unofficial |  |  |  |
fixed  | YK:n päivä | 10 24 | unofficial |  |  |  |
fixed  | Ruotsalaisuuden päivä, Kustaa Aadolfin päivä | 11 6 | unofficial |  |  |  |
fixed  | Lapsen oikeuksien päivä | 11 20 | unofficial |  |  |  |
fixed  | Jean Sibeliuksen päivä, suomalaisen musiikin päivä | 12 8 | unofficial |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Kaatuneitten muistopäivä | 2024-5-19 2025-5-18 | unofficial |  |  |  |
decree | Suomen luonnon päivä | 2024-8-31 2025-8-30 | unofficial |  |  |  |
