# civil-holidays v1
# jurisdiction: BA
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Bosnia_and_Herzegovina
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   Bosnian, the vacanza default rendering for this jurisdiction; English
#   lands only in translations.tab, never in this column. Hijri holidays
#   (Ramazanski/Kurban Bajram) have no closed-form rule modelled here and
#   are captured as 'decree' (explicit per-year dates, basis tabulated)
#   for 2024-2025. Orthodox Christmas/Good Friday use chronologia's own
#   julian_gregorian_date easter() method for the movable Good Friday,
#   whose -2 offset was independently confirmed to hold in both 2024 and
#   2025; Catholic Easter Monday uses the Gregorian easter() +1 offset.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Nova godina (1)                       | 1 1 | public          |  |  |  |
fixed         | Nova godina (2)                       | 1 2 | public          |  |  |  |
fixed         | Božić (Pravoslavni)                     | 1 7 | public          |  |  |  |
easter        | Uskrsni ponedjeljak (Katolički)           | 1 | public          |  |  |  |
decree        | Ramazanski Bajram                      | 2024-4-10 2025-3-30 2026-3-20 2027-3-9 | public          |  |  |  || eid_al_fitr
fixed         | Međunarodni praznik rada (1)              | 5 1 | public          |  |  |  |
fixed         | Međunarodni praznik rada (2)              | 5 2 | public          |  |  |  |
easter        | Veliki petak (Pravoslavni)               | -2 julian_gregorian_date | public          |  |  |  |
decree        | Kurban Bajram                          | 2024-6-16 2025-6-6 2026-5-27 2027-5-16  | public          |  |  |  || eid_al_adha
fixed         | Božić (Katolički)                      | 12 25 | public          |  |  |  |
#
# --- Federacija Bosne i Hercegovine (BA-BIH) / Brčko distrikt (BA-BRC) /
#     Republika Srpska (BA-SRP): vacanza/holidays 0.101 (MIT)
#     holidays/countries/bosnia_and_herzegovina.py -- each entity carries its
#     own religious calendar (Catholic/Orthodox/Islamic) plus entity-specific
#     civic days. Fixed rules stable both years; Ramazanski/Kurban Bajram
#     (Islamic lunar) and the Easter-family days (whose Catholic/Orthodox
#     labels co-occur only when the two computi coincide, as in 2025) are
#     decree-tabulated 2024-2025 rather than modeled as rules.
fixed  | Badnji dan (Katolički)                 | 12 24 | public religious | BA-BIH |
fixed  | Badnji dan (Pravoslavni)               | 1 6   | public religious | BA-BIH |
fixed  | Dan državnosti                         | 11 25 | public          | BA-BIH |
fixed  | Dan nezavisnosti                       | 3 1   | public          | BA-BIH |
fixed  | Dan pobjede nad fašizmom               | 5 9   | public          | BA-BIH |
decree | Kurban Bajram (procijenjeno)           | 2024-6-17 2025-6-7 2026-5-27 2026-5-28 2027-5-16 2027-5-17 | public religious | BA-BIH |
decree | Ramazanski Bajram                      | 2024-4-11 | public religious | BA-BIH |
decree | Ramazanski Bajram (procijenjeno)       | 2025-3-31 2026-3-20 2026-3-21 2027-3-9 2027-3-10 | public religious | BA-BIH |
decree | Uskrs (Katolički)                      | 2024-3-31 2026-4-5 2027-3-28 | public religious | BA-BIH |
decree | Uskrs (Katolički); Vaskrs (Pravoslavni) | 2025-4-20 | public religious | BA-BIH |
decree | Uskrsni ponedjeljak (Katolički); Uskrsni ponedjeljak (Pravoslavni) | 2025-4-21 | public religious | BA-BIH |
decree | Uskrsni ponedjeljak (Pravoslavni)      | 2024-5-6 2026-4-13 2027-5-3 | public religious | BA-BIH |
decree | Vaskrs (Pravoslavni)                   | 2024-5-5 2026-4-12 2027-5-2 | public religious | BA-BIH |
decree | Veliki petak (Katolički)               | 2024-3-29 2026-4-3 2027-3-26 | public religious | BA-BIH |
decree | Veliki petak (Katolički); Veliki petak (Pravoslavni) | 2025-4-18 | public religious | BA-BIH |
decree | Božić (Pravoslavni) (slobodan dan)     | 2024-1-8 | public religious | BA-BRC |
fixed  | Dan uspostavljanja Brčko distrikta     | 3 8   | public          | BA-BRC |
fixed  | Badnji dan (Katolički)                 | 12 24 | public religious | BA-SRP |
fixed  | Badnji dan (Pravoslavni)               | 1 6   | public religious | BA-SRP |
fixed  | Dan pobjede nad fašizmom               | 5 9   | public          | BA-SRP |
fixed  | Dan uspostave Opšteg okvirnog sporazuma za mir u Bosni i Hercegovini | 11 21 | public | BA-SRP |
decree | Kurban Bajram (procijenjeno)           | 2024-6-17 2025-6-7 2026-5-27 2026-5-28 2027-5-16 2027-5-17 | public religious | BA-SRP |
fixed  | Pravoslavna Nova godina                | 1 14  | public religious | BA-SRP |
decree | Ramazanski Bajram                      | 2024-4-11 | public religious | BA-SRP |
decree | Ramazanski Bajram (procijenjeno)       | 2025-3-31 2026-3-20 2026-3-21 2027-3-9 2027-3-10 | public religious | BA-SRP |
decree | Uskrs (Katolički)                      | 2024-3-31 2026-4-5 2027-3-28 | public religious | BA-SRP |
decree | Uskrs (Katolički); Vaskrs (Pravoslavni) | 2025-4-20 | public religious | BA-SRP |
decree | Uskrsni ponedjeljak (Katolički); Uskrsni ponedjeljak (Pravoslavni) | 2025-4-21 | public religious | BA-SRP |
decree | Uskrsni ponedjeljak (Pravoslavni)      | 2024-5-6 2026-4-13 2027-5-3 | public religious | BA-SRP |
decree | Vaskrs (Pravoslavni)                   | 2024-5-5 2026-4-12 2027-5-2 | public religious | BA-SRP |
decree | Veliki petak (Katolički)               | 2024-3-29 2026-4-3 2027-3-26 | public religious | BA-SRP |
decree | Veliki petak (Katolički); Veliki petak (Pravoslavni) | 2025-4-18 | public religious | BA-SRP |
