# civil-holidays v1
# jurisdiction: BI
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Burundi
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Jour de l'an                         | 1 1                  | public          |  |  |  |
fixed         | Fête de l'Unité                      | 2 5                  | public          |  |  |  |
fixed         | Commémoration de l'Assassinat du Président Cyprien Ntaryamira | 4 6                  | public          |  |  |  |
decree        | Aid-El-Fithr                         | 2024-4-10 2025-3-30 2026-3-20 2027-3-9  | public          |  |  |  || eid_al_fitr
fixed         | Fête Internationale du Travail       | 5 1                  | public          |  |  |  |
easter        | Jour de l'Ascension                  | 39                   | public          |  |  |  |
fixed         | Journée Nationale du Patriotisme et Commémoration de la Mort du Président Pierre Nkurunziza | 6 8                  | public          |  |  |  |
decree        | Aid-El-Adha                          | 2024-6-16 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  || eid_al_adha
decree        | Aid-El-Adha (observé)                | 2024-6-17            | public          |  |  |  |
fixed         | Anniversaire de l'Indépendance       | 7 1                  | public          |  |  |  |
fixed         | Assomption                           | 8 15                 | public          |  |  |  |
fixed         | Commémoration de l'Assassinat du Héros National, le Prince Louis Rwagasore | 10 13                | public          |  |  |  |
decree        | Commémoration de l'Assassinat du Héros National, le Prince Louis Rwagasore (observé) | 2024-10-14           | public          |  |  |  |
fixed         | Commémoration de l'Assassinat du Président Melchior Ndadaye | 10 21                | public          |  |  |  |
fixed         | Toussaint                            | 11 1                 | public          |  |  |  |
fixed         | Noël                                 | 12 25                | public          |  |  |  |
decree        | Aid-El-Fithr (observé)               | 2025-3-31            | public          |  |  |  |
decree        | Commémoration de l'Assassinat du Président Cyprien Ntaryamira (observé) | 2025-4-7             | public          |  |  |  |
decree        | Journée Nationale du Patriotisme et Commémoration de la Mort du Président Pierre Nkurunziza (observé) | 2025-6-9             | public          |  |  |  |
