# civil-holidays v1
# jurisdiction: BO
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Bolivia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Año Nuevo                                     | 1 1 | public          |  |  |  |
fixed         | Día de la Creación del Estado Plurinacional de Bolivia | 1 22 | public          |  |  |  |
easter        | Carnaval (1)                                  | -48 | public          |  |  |  |
easter        | Carnaval (2)                                  | -47 | public          |  |  |  |
easter        | Viernes Santo                                 | -2 | public          |  |  |  |
fixed         | Día del Trabajo                               | 5 1 | public          |  |  |  |
easter        | Corpus Christi                                | 60 | public          |  |  |  |
fixed         | Año Nuevo Aymara Amazónico                    | 6 21 | public          |  |  |  |
fixed         | Día de la Independencia de Bolivia            | 8 6 | public          |  |  |  |
fixed         | Día de la Dignidad Nacional                   | 10 17 | public          |  |  |  |
fixed         | Día de Todos los Difuntos                     | 11 2 | public          |  |  |  |
fixed         | Navidad                                       | 12 25 | public          |  |  |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# BO-B
fixed | Día del departamento de Beni | 11 18 | regional | BO-B |  |  | 
# BO-C
fixed | Día del departamento de Cochabamba | 9 14 | regional | BO-C |  |  | 
# BO-H
fixed | Día del departamento de Chuquisaca | 5 25 | regional | BO-H |  |  | 
# BO-L
fixed | Día del departamento de La Paz | 7 16 | regional | BO-L |  |  | 
# BO-N
fixed | Día del departamento de Pando | 10 11 | regional | BO-N |  |  | 
# BO-O
easter | Carnaval de Oruro | -51 | regional religious | BO-O |  |  | 
# BO-P
fixed | Día del departamento de Potosí | 11 10 | regional | BO-P |  |  | 
# BO-S
fixed | Día del departamento de Santa Cruz | 9 24 | regional religious | BO-S |  |  | 
# BO-T
fixed | La Tablada | 4 15 | regional | BO-T |  |  | 
