# civil-holidays v1
# jurisdiction: BR
# source: https://www.planalto.gov.br/ccivil_03/leis/l0662.htm
#   (Lei 662/1949, feriados nacionais, as amended; local copy
#   papers/holidays/br_lei662_planalto.html) and
#   https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14759.htm
#   (Lei 14.759/2023, which made 20 November — Dia da Consciência Negra — a
#   national holiday effective 2024; local copy br_lei14759_consciencia_planalto.html).
#   Cross-checked against vacanza/holidays 0.101 (MIT).
#
#   FACULTATIVE DAYS: Carnaval and Corpus Christi are not statutory national
#   holidays (feriados) — they are pontos facultativos / observed religious days.
#   The facultative status is carried in the CATEGORY: they are tagged
#   "religious" only, NOT "public", so the public national set stays exactly the
#   statutory feriados. Their movable dates derive from computus.
#   Consciência Negra became a NATIONAL holiday only from 2024 (Lei 14.759/2023);
#   its rule carries a "2024-" validity range, so it is honestly silent for 2023
#   and earlier (when it was only a state/municipal holiday) and present from 2024.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# --- national feriados (Lei 662/1949 + Lei 14.759/2023) ---
fixed  | Confraternização Universal                    | 1 1   | public          |  |
easter | Sexta-feira Santa                             | -2    | public religious |  |
fixed  | Tiradentes                                    | 4 21  | public          |  |
fixed  | Dia do Trabalhador                            | 5 1   | public          |  |
fixed  | Independência do Brasil                       | 9 7   | public          |  |
fixed  | Nossa Senhora Aparecida                       | 10 12 | public religious |  |
fixed  | Finados                                       | 11 2  | public religious |  |
fixed  | Proclamação da República                      | 11 15 | public          |  |
fixed  | Dia Nacional de Zumbi e da Consciência Negra  | 11 20 | public          |  |  | 2024-
fixed  | Natal                                         | 12 25 | public religious |  |
#
# --- facultative national religious days (NOT statutory feriados) ---
easter | Carnaval        | -47 | religious optional |  |
easter | Corpus Christi  | 60  | religious optional |  |
#
# --- state examples (feriados estaduais) ---
fixed  | Revolução Constitucionalista | 7 9  | regional | BR-SP |
fixed  | São Jorge                    | 4 23 | regional religious | BR-RJ |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Dia do Servidor Público | 10 28 | optional |  |  |  |
fixed  | Véspera de Natal | 12 24 | optional |  |  |  |
fixed  | Véspera de Ano-Novo | 12 31 | optional |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Início da Quaresma | 2024-2-14 2025-3-5 | optional |  |  |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# BR-AC
decree | Assinatura do Tratado de Petrópolis | 2024-11-17 2025-11-17 2026-11-20 2027-11-19 | regional | BR-AC |
fixed | Aniversário do Acre | 6 15 | regional | BR-AC | 
