# civil-holidays v1
# jurisdiction: BW
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Botswana
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names
#   are English, Botswana's official language, as vacanza publishes it.
#   President's Day and its following holiday (3rd Monday of July plus one
#   day) have no fixed month/day stable across both sample years and are
#   captured as 'decree' (explicit per-year dates, basis tabulated) for
#   2024-2025. Good Friday/Holy Saturday/Easter Monday/Ascension Day
#   offsets from chronologia's own easter() were independently confirmed
#   to hold in both 2024 and 2025. "New Year's Day Holiday" and
#   "...Holiday" suffixed rows are kept as their own named rows (a
#   genuine second day off, not a shifted-date artifact), matching the
#   precedent already set for South Korea's substitute-holiday rows.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                        | 1 1 | public          |  |  |  |
fixed         | New Year's Day Holiday                   | 1 2 | public          |  |  |  |
easter        | Good Friday                           | -2 | public          |  |  |  |
easter        | Holy Saturday                          | -1 | public          |  |  |  |
easter        | Easter Monday                          | 1 | public          |  |  |  |
fixed         | Labour Day                            | 5 1 | public          |  |  |  |
easter        | Ascension Day                          | 39 | public          |  |  |  |
fixed         | Sir Seretse Khama Day                   | 7 1 | public          |  |  |  |
nth_weekday | President's Day | 7 3 0 | public |  |  |  | 
weekday_onbefore | President's Day Holiday | 7 22 1 | public |  |  |  | 
fixed         | Botswana Day                          | 9 30 | public          |  |  |  |
fixed         | Botswana Day Holiday                    | 10 1 | public          |  |  |  |
fixed         | Christmas Day                         | 12 25 | public          |  |  |  |
fixed         | Boxing Day                            | 12 26 | public          |  |  |  |
