# civil-holidays v1
# jurisdiction: BY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Belarus
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Новы год (1)                                  | 1 1 | public          |  |  |  |
fixed         | Новы год (2)                                  | 1 2 | public          |  |  |  |
fixed         | Нараджэнне Хрыстова (праваслаўнае Раство)     | 1 7 | public          |  |  |  |
fixed         | Дзень жанчын                                  | 3 8 | public          |  |  |  |
easter        | Каталiцкi Вялiкдзень                          | 0 | public          |  |  |  |
fixed         | Свята працы                                   | 5 1 | public          |  |  |  |
easter        | Праваслаўны Вялiкдзень                        | 0 julian_gregorian_date | public          |  |  |  |
fixed         | Дзень Перамогі                                | 5 9 | public          |  |  |  |
easter        | Радаўніца                                     | 9 julian_gregorian_date | public          |  |  |  |
fixed         | Дзень Незалежнасці Рэспублікі Беларусь (Дзень Рэспублікі) | 7 3 | public          |  |  |  |
fixed         | Дзень Кастрычніцкай рэвалюцыі                 | 11 7 | public          |  |  |  |
fixed         | Нараджэнне Хрыстова (каталіцкае Раство)       | 12 25 | public          |  |  |  |
