# civil-holidays v1
# jurisdiction: CW
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Curacao
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in pap_CW via vacanza's own language support (language='pap_CW'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Aña Nobo                                 | 1 1                  | public          |  |  |  |
easter        | Dialuna despues di Carnaval Grandi       | -48 gregorian        | public          |  |  |  |
easter        | Bièrnèsantu                              | -2 gregorian         | public          |  |  |  |
easter        | Pasku di Resurekshon                     | 0 gregorian          | public          |  |  |  |
easter        | Di dos dia di Pasku di Resurekshon       | 1 gregorian          | public          |  |  |  |
decree        | Dia di Rey                               | 2024-4-27 2025-4-26 2026-4-27 2027-4-27  | public          |  |  |  |
fixed         | Dia di Obrero                            | 5 1                  | public          |  |  |  |
easter        | Dia di Asenshon                          | 39 gregorian         | public          |  |  |  |
fixed         | Dia di Himno i Bandera                   | 7 2                  | public          |  |  |  |
fixed         | Dia di Pais Kòrsou                       | 10 10                | public          |  |  |  |
fixed         | Pasku di Nasementu                       | 12 25                | public          |  |  |  |
fixed         | Di dos dia di Pasku di Nasementu         | 12 26                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | Vispu di Aña Nobo | 12 31 | half_day |  |
