# civil-holidays v1
# jurisdiction: CY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Cyprus
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in el via vacanza's own language support (language='el'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Πρωτοχρονιά                              | 1 1                  | public          |  |  |  |
fixed         | Ημέρα των Θεοφανίων                      | 1 6                  | public          |  |  |  |
easter        | Καθαρά Δευτέρα                           | -48 julian_gregorian_date | public          |  |  |  |
fixed         | Ημέρα της Ελληνικής Ανεξαρτησίας         | 3 25                 | public          |  |  |  |
fixed         | Εθνική Ημέρα Κύπρου                      | 4 1                  | public          |  |  |  |
fixed         | Πρωτομαγιά                               | 5 1                  | public          |  |  |  |
easter        | Μεγάλη Παρασκευή                         | -2 julian_gregorian_date | public          |  |  |  |
easter        | Κυριακή του Πάσχα                        | 0 julian_gregorian_date | public          |  |  |  |
easter        | Δευτέρα της Διακαινησίμου                | 1 julian_gregorian_date | public          |  |  |  |
easter        | Δευτέρα του Αγίου Πνεύματος              | 50 julian_gregorian_date | public          |  |  |  |
fixed         | Κοίμηση της Θεοτόκου                     | 8 15                 | public          |  |  |  |
fixed         | Ημέρα της Κυπριακής Ανεξαρτησίας         | 10 1                 | public          |  |  |  |
fixed         | Ημέρα του Όχι                            | 10 28                | public          |  |  |  |
fixed         | Χριστούγεννα                             | 12 25                | public          |  |  |  |
fixed         | Επομένη Χριστουγέννων                    | 12 26                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Παραμονή Χριστουγέννων | 12 24 | optional |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Τρίτη της Διακαινησίμου | 2024-5-7 2025-4-22 | bank |  |  |  |
decree | Μεγάλο Σάββατο | 2024-5-4 2025-4-19 | optional |  |  |  |
