# civil-holidays v1
# jurisdiction: DZ
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Algeria
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | رأس السنة الميلادية                | 1 1                 | public          |  |  |  |
fixed         | رأس السنة الأمازيغية               | 1 12                | public          |  |  |  |
decree        | عيد الفطر                          | 2024-4-10 2024-4-11 2024-4-12 2025-3-30 2025-3-31 2025-4-1 2026-3-20 2027-3-9| public          |  |  |  |
fixed         | عيد العمال                         | 5 1                 | public          |  |  |  |
decree        | عيد الأضحى                         | 2024-6-16 2024-6-17 2024-6-18 2025-6-6 2025-6-7 2025-6-8 2026-5-27 2027-5-16| public          |  |  |  |
fixed         | عيد الاستقلال                      | 7 5                 | public          |  |  |  |
decree        | رأس السنة الهجرية                  | 2024-7-7 2025-6-26 2026-6-16 2027-6-6  | public          |  |  |  |
decree        | عاشورة                             | 2024-7-16 2025-7-5 2026-6-25 2027-6-15  | public          |  |  |  || ashura
decree        | عيد المولد النبوي                  | 2024-9-15 2025-9-4 2026-8-25 2027-8-14  | public          |  |  |  || mawlid
fixed         | عيد الثورة                         | 11 1                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | عيد انتقال السيدة العذراء | 8 15 | christian |  |  |  |
fixed  | عيد الميلاد | 12 25 | christian |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | إثنين الفصح | 2024-4-1 2025-4-21 | christian |  |  |  |
decree | عيد الصعود | 2024-5-9 2025-5-29 | christian |  |  |  |
decree | إثنين العنصرة | 2024-5-20 2025-6-9 | christian |  |  |  |
decree | رأس السنة العبرية | 2024-10-3 2025-9-23 | hebrew |  |  |  |
decree | يوم الغفران | 2024-10-12 2025-10-2 | hebrew |  |  |  |
decree | عيد الفصح اليهودي | 2024-4-23 2025-4-13 | hebrew |  |  |  |
