# civil-holidays v1
# jurisdiction: EC
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Ecuador
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Año Nuevo                            | 1 1                  | public          |  |  |  |
decree        | Carnaval                             | 2024-2-12 2024-2-13 2025-3-3 2025-3-4 2026-2-16 2026-2-17 2027-2-8 2027-2-9 | public          |  |  |  |
easter        | Viernes Santo                        | -2                   | public          |  |  |  |
fixed         | Día del Trabajo                      | 5 1                  | public          |  |  |  |
decree        | Día del Trabajo (observado)          | 2024-5-3 2025-5-2 2027-4-30    | public          |  |  |  |
fixed         | Batalla de Pichincha                 | 5 24                 | public          |  |  |  |
decree        | Primer Grito de Independencia (observado) | 2024-8-9 2025-8-11 2027-8-9   | public          |  |  |  |
fixed         | Primer Grito de Independencia        | 8 10                 | public          |  |  |  |
fixed         | Independencia de Guayaquil           | 10 9                 | public          |  |  |  |
decree        | Independencia de Guayaquil (observado) | 2024-10-11 2025-10-10 2027-10-08 | public          |  |  |  |
decree        | Día de Difuntos (observado)          | 2024-11-1 2025-11-4 2027-11-1  | public          |  |  |  |
fixed         | Día de Difuntos                      | 11 2                 | public          |  |  |  |
fixed         | Independencia de Cuenca              | 11 3                 | public          |  |  |  |
decree        | Independencia de Cuenca (observado)  | 2024-11-4            | public          |  |  |  |
fixed         | Navidad                              | 12 25                | public          |  |  |  |
decree        | Batalla de Pichincha (observado)     | 2025-5-23 2026-5-25            | public          |  |  |  |
