# civil-holidays v1
# jurisdiction: ES
# source: https://www.boe.es/buscar/act.php?id=BOE-A-2015-11430
#   (Estatuto de los Trabajadores art. 37.2, consolidated BOE text; local copy
#   papers/holidays/es_estatuto_trabajadores_art37_boe.html) for the national
#   fiesta set, and the yearly "relación de fiestas laborales" resolutions of the
#   Dirección General de Trabajo for the per-year national traslado outcomes and
#   the autonomous-community (comunidad autónoma) layer:
#     2023: BOE-A-2022-16755 (papers/holidays/es_boe_BOE-A-2022-16755.html)
#     2024: BOE-A-2023-22014 (papers/holidays/es_boe_BOE-A-2023-22014.html)
#     2025: BOE-A-2024-21316 (papers/holidays/es_boe_BOE-A-2024-21316.html)
#     2026: BOE-A-2025-21667 (papers/holidays/es_boe_BOE-A-2025-21667.html)
#
#   NATIONAL Sunday TRASLADO (deterministic). Estatuto art. 37.2: a national
#   fiesta that falls on a Sunday is moved to the following Monday. This is
#   modelled with the sun_mon observed-shift on the national fixed rules. Across
#   every BOE resolution 2023-2026 this reproduces the published "Lunes siguiente
#   a ..." national entries exactly: Año Nuevo 2023 (Sun 1 Jan -> Mon 2 Jan),
#   Inmaculada 2024 (Sun 8 Dec -> Mon 9 Dec), Fiesta Nacional 2025 (Sun 12 Oct ->
#   Mon 13 Oct), Todos los Santos + Constitución 2026 (Sun -> following day). The
#   BOE resolutions above are the citation/verification of each yearly outcome.
#   NOTE: the vacanza/holidays reference package instead DROPS a Sunday national
#   holiday; we follow the BOE (which shifts it), so those Mondays are documented
#   our-only differential entries in test_holidays_es.py (accuracy over parity).
#
#   REGIONAL layer (comunidad autónoma). Each of the 17 comunidades + Ceuta and
#   Melilla fixes its extra holidays every year by BOE resolution; these are
#   genuine annual decrees, so they are modelled with decree rows carrying the
#   exact per-year dates transcribed from the four BOE tables above (2023-2026,
#   completeness prioritised for 2024-2025). Each community's own regional-day
#   traslado is merged into that day's decree (e.g. Día de Asturias 2024 -> 9 Sep,
#   the Monday after Sunday 8 Sep). The nationwide "Lunes siguiente a [national]"
#   BOE rows are NOT duplicated here — they are the national traslado above.
#   Subdivision codes are ISO 3166-2:ES.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid
#
# --- national fiestas laborales (Estatuto de los Trabajadores art. 37.2) ---
fixed  | Año Nuevo                       | 1 1   | public          |  | sun_mon
fixed  | Epifanía del Señor              | 1 6   | public religious |  | sun_mon
easter | Viernes Santo                   | -2    | public religious |  |
fixed  | Fiesta del Trabajo              | 5 1   | public          |  | sun_mon
fixed  | Asunción de la Virgen           | 8 15  | public religious |  | sun_mon
fixed  | Fiesta Nacional de España       | 10 12 | public          |  | sun_mon
fixed  | Todos los Santos                | 11 1  | public religious |  | sun_mon
fixed  | Día de la Constitución Española | 12 6  | public          |  | sun_mon
fixed  | Inmaculada Concepción           | 12 8  | public religious |  | sun_mon
fixed  | Natividad del Señor             | 12 25 | public religious |  | sun_mon
#
# --- autonomous-community (comunidad autónoma) layer: BOE decree tables ---
# --- Andalucía (ES-AN) ---
fixed | Día de Andalucía | 2 28 | regional | ES-AN | 
easter | Jueves Santo | -3 | regional religious | ES-AN | 
# --- Aragón (ES-AR) ---
easter | Jueves Santo | -3 | regional religious | ES-AR | 
decree | San Jorge/Día de Aragón | 2023-4-24 2024-4-23 2025-4-23 2026-4-23 | regional religious | ES-AR |
# --- Asturias (ES-AS) ---
decree | Día de Asturias | 2023-9-8 2024-9-9 2025-9-8 2026-9-8 2027-9-8 | regional | ES-AS |
easter | Jueves Santo | -3 | regional religious | ES-AS | 
# --- Illes Balears (ES-IB) ---
decree | es:Día de les Illes Balears ;; ca:Dia de les Illes Balears | 2023-3-1 2024-3-1 2025-3-1 2026-3-2 2027-3-1 | regional | ES-IB |
easter | Jueves Santo | -3 | regional religious | ES-IB | 
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2026-4-6 2027-3-29 | regional religious | ES-IB |
fixed | San Esteban | 12 26 | regional religious | ES-IB | 
# --- Canarias (ES-CN) ---
fixed | Día de Canarias | 5 30 | regional | ES-CN | 
easter | Jueves Santo | -3 | regional religious | ES-CN | 
# --- Cantabria (ES-CB) ---
decree | Día de las Instituciones de Cantabria | 2023-7-28 2025-7-28 2026-7-28 2027-7-28 | regional | ES-CB |
easter | Jueves Santo | -3 | regional religious | ES-CB | 
decree | La Bien Aparecida | 2023-9-15 2025-9-15 2026-9-15 2027-9-15 | regional religious | ES-CB |
decree | Lunes de Pascua | 2024-4-1 | regional religious | ES-CB |
decree | Santiago Apóstol/Día Nacional de Galicia | 2024-7-25 | regional religious | ES-CB |
# --- Castilla-La Mancha (ES-CM) ---
easter | Corpus Christi | 60 | regional religious | ES-CM | 
decree | Día de Castilla-La Mancha | 2023-5-31 2024-5-31 2025-5-31 2027-5-31 | regional | ES-CM |
easter | Jueves Santo | -3 | regional religious | ES-CM | 
decree | Lunes de Pascua | 2026-4-6 | regional religious | ES-CM |
# --- Castilla y León (ES-CL) ---
fixed | Fiesta de Castilla y León | 4 23 | regional | ES-CL | 
easter | Jueves Santo | -3 | regional religious | ES-CL | 
decree | Santiago Apóstol/Día Nacional de Galicia | 2023-7-25 | regional religious | ES-CL |
# --- Cataluña (ES-CT) ---
fixed | es:Fiesta Nacional de Cataluña ;; ca:Diada Nacional de Catalunya | 9 11 | regional | ES-CT | 
easter | Lunes de Pascua | 1 | regional religious | ES-CT | 
fixed | San Esteban | 12 26 | regional religious | ES-CT | 
fixed | San Juan | 6 24 | regional religious | ES-CT | 
# --- Extremadura (ES-EX) ---
decree | Día de Extremadura | 2023-9-8 2025-9-8 2026-9-8 2027-9-8 | regional | ES-EX |
easter | Jueves Santo | -3 | regional religious | ES-EX | 
easter | Martes de Carnaval | -47 | regional | ES-EX | 
# --- Galicia (ES-GA) ---
decree | es:Día de las Letras Gallegas ;; gl:Día das Letras Galegas | 2023-5-17 2024-5-17 2025-5-17 2027-5-17 | regional | ES-GA |
easter | Jueves Santo | -3 | regional religious | ES-GA | 
decree | San José | 2026-3-19 | regional religious | ES-GA |
decree | San Juan | 2026-6-24 | regional religious | ES-GA |
fixed | Santiago Apóstol/Día Nacional de Galicia | 7 25 | regional religious | ES-GA | 
# --- Comunidad de Madrid (ES-MD) ---
fixed | Fiesta de la Comunidad de Madrid | 5 2 | regional | ES-MD | 
easter | Jueves Santo | -3 | regional religious | ES-MD | 
decree | San José | 2023-3-20 2027-3-19 | regional religious | ES-MD |
fixed | Santiago Apóstol/Día Nacional de Galicia | 7 25 | regional religious | ES-MD | 
# --- Región de Murcia (ES-MC) ---
decree | Día de la Región de Murcia | 2023-6-9 2025-6-9 2026-6-9 2027-6-9 | regional | ES-MC |
easter | Jueves Santo | -3 | regional religious | ES-MC | 
fixed | San José | 3 19 | regional religious | ES-MC | 
# --- C. Foral de Navarra (ES-NC) ---
easter | Jueves Santo | -3 | regional religious | ES-NC | 
easter | Lunes de Pascua | 1 | regional religious | ES-NC | 
decree | San José | 2026-3-19 | regional religious | ES-NC |
fixed | Santiago Apóstol/Día Nacional de Galicia | 7 25 | regional religious | ES-NC | 
# --- País Vasco (ES-PV) ---
easter | Jueves Santo | -3 | regional religious | ES-PV | 
easter | Lunes de Pascua | 1 | regional religious | ES-PV | 
fixed | San José | 3 19 | regional religious | ES-PV | 
fixed | Santiago Apóstol/Día Nacional de Galicia | 7 25 | regional religious | ES-PV | 
# --- La Rioja (ES-RI) ---
decree | Día de La Rioja | 2023-6-9 2024-6-10 2025-6-9 2026-6-9 2027-6-9 | regional | ES-RI |
easter | Jueves Santo | -3 | regional religious | ES-RI | 
easter | Lunes de Pascua | 1 | regional religious | ES-RI | 
# --- Comunitat Valenciana (ES-VC) ---
fixed | es:Día de la Comunitat Valenciana ;; ca:Dia de la Comunitat Valenciana | 10 9 | regional | ES-VC | 
easter | Lunes de Pascua | 1 | regional religious | ES-VC | 
fixed | San José | 3 19 | regional religious | ES-VC | 
fixed | San Juan | 6 24 | regional religious | ES-VC | 
# --- Ceuta (ES-CE) ---
decree | Día de Ceuta | 2023-9-2 2026-9-2 2027-9-2 | regional | ES-CE |
decree | Fiesta del Sacrificio (Aid al-Adha) | 2023-6-29 2024-6-17 2025-6-6 2026-5-27 | regional religious | ES-CE |
easter | Jueves Santo | -3 | regional religious | ES-CE | 
fixed | Nuestra Señora de África | 8 5 | regional religious | ES-CE | 
# --- Melilla (ES-ML) ---
decree | Fiesta del Aid al-Fitr | 2023-4-21 2025-3-31 2026-3-20 | regional religious | ES-ML |
decree | Fiesta del Sacrificio (Aid al-Adha) | 2023-6-29 2024-6-17 2025-6-6 2026-5-27 | regional religious | ES-ML |
easter | Jueves Santo | -3 | regional religious | ES-ML | 
