# civil-holidays v1
# jurisdiction: GA
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Gabon
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Fin du Ramadan/Fête du sacrifice (Hijri) have no closed-form rule
#   modelled here and are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025. Every other rule is a stable fixed
#   calendar date or a chronologia easter() offset independently confirmed
#   to hold in both 2024 and 2025. Generic "Jour férié" ("public holiday")
#   placeholder rows -- which land on different, unrelated dates each
#   year -- are dropped as ad-hoc workday-bridge artifacts out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Jour de l'an                          | 1 1 | public          |  |  |  |
easter        | Pâques                                | 0 | public          |  |  |  |
easter        | Lundi de Pâques                        | 1 | public          |  |  |  |
decree        | Fin du Ramadan                         | 2024-4-10 2025-3-30 2026-3-20 2027-3-9 | public          |  |  |  || eid_al_fitr
fixed         | Journée des droits de la femme            | 4 17 | public          |  |  |  |
fixed         | Fête du Travail                        | 5 1 | public          |  |  |  |
easter        | Ascension                             | 39 | public          |  |  |  |
easter        | Pentecôte                             | 49 | public          |  |  |  |
easter        | Lundi de Pentecôte                      | 50 | public          |  |  |  |
decree        | Fête du sacrifice                      | 2024-6-16 2025-6-6 2026-5-27 2027-5-16  | public          |  |  |  || eid_al_adha
fixed         | Assomption de Marie                     | 8 15 | public          |  |  |  |
fixed         | Jour de l'indépendance                  | 8 16 | public          |  |  |  |
fixed         | Fête de l'indépendance                  | 8 17 | public          |  |  |  |
fixed         | Journée de la Libération                 | 8 30 | public          |  |  |  |
fixed         | Toussaint                             | 11 1 | public          |  |  |  |
fixed         | Noël                                | 12 25 | public          |  |  |  |
