# civil-holidays v1
# jurisdiction: GB
# source: https://www.gov.uk/bank-holidays
#   (UK government bank-holidays listing; local copy
#   papers/holidays/gb_bank_holidays_govuk.html). Subdivisions follow the three
#   bank-holiday regimes: GB-EAW = England & Wales, GB-SCT = Scotland,
#   GB-NIR = Northern Ireland. Easter-relative days derive from computus.
#   SUBSTITUTE DAYS: gov.uk grants a substitute weekday when a bank holiday falls
#   on a weekend — "normally the following Monday", and, per the same page, when
#   both Christmas Day and Boxing Day fall on a weekend the substitutes cascade to
#   two distinct weekdays. Legally the substitute IS the bank holiday; the nominal
#   weekend date is not itself a working-day holiday. We model this with the
#   gb_substitute policy (SubstitutePolicy): it ADDS a "<name> (substitute day)"
#   holiday on the next weekday not already a bank holiday, resolved calendar-wide
#   so the Christmas/Boxing pair cascades correctly (e.g. 2021: Christmas Sat 25
#   Dec -> Mon 27, Boxing Sun 26 Dec -> Tue 28). The nominal statutory date is
#   kept too (matching the reference package, which lists both). Applied to every
#   weekend-susceptible fixed bank holiday; the nth-weekday and Easter days can
#   never fall on a weekend.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# UK-wide bank holidays carry the Welsh (cy) co-official name alongside English;
# Welsh is an official language of Wales (Welsh Language (Wales) Measure 2011),
# where these bank holidays are observed. The primary name stays English (the
# join key used by the golds).
# --- UK-wide bank holidays (all three regions) ---
fixed          | en:New Year's Day ;; cy:Dydd Calan               | 1 1    | public          |  | gb_substitute
easter         | en:Good Friday ;; cy:Dydd Gwener y Groglith      | -2     | public religious |  |
nth_weekday    | en:Early May Bank Holiday ;; cy:Gŵyl Banc Calan Mai | 5 1 0  | public          |  |
nth_weekday    | en:Spring Bank Holiday ;; cy:Gŵyl Banc y Gwanwyn | 5 -1 0 | public          |  |  | -2021 |
nth_weekday    | en:Spring Bank Holiday ;; cy:Gŵyl Banc y Gwanwyn | 5 -1 0 | public          |  |  | 2023- |
fixed          | en:Christmas Day ;; cy:Dydd Nadolig              | 12 25  | public religious |  | gb_substitute
fixed          | en:Boxing Day ;; cy:Gŵyl San Steffan            | 12 26  | public          |  | gb_substitute
#
# --- One-off royal / national bank holidays (one_off; each carries its gov.uk
#     proclamation citation). These were additional bank holidays granted for a
#     single year only and never recur. gov.uk lists them in the year's table.
one_off        | en:Spring Bank Holiday ;; cy:Gŵyl Banc y Gwanwyn | 2022 6 2  https://www.gov.uk/bank-holidays | public |  |
one_off        | Platinum Jubilee bank holiday   | 2022 6 3  https://www.gov.uk/bank-holidays  | public |  |
one_off        | State Funeral of Queen Elizabeth II | 2022 9 19 https://www.gov.uk/government/news/bank-holiday-announced-for-her-majesty-queen-elizabeth-iis-state-funeral-on-monday-19-september | public |  |
one_off        | Coronation of King Charles III  | 2023 5 8  https://www.gov.uk/government/news/extra-bank-holiday-to-mark-the-coronation-of-king-charles-iii | public |  |
#
# --- England & Wales (GB-EAW) ---
easter         | Easter Monday               | 1      | public religious | GB-EAW |
nth_weekday    | Summer Bank Holiday         | 8 -1 0 | public          | GB-EAW |
#
# --- Scotland (GB-SCT) ---
fixed          | 2nd January             | 1 2    | public          | GB-SCT | gb_substitute
nth_weekday    | Summer Bank Holiday     | 8 1 0  | public          | GB-SCT |
fixed          | St Andrew's Day         | 11 30  | public          | GB-SCT | gb_substitute
#
# --- Northern Ireland (GB-NIR) ---
fixed          | St Patrick's Day        | 3 17   | public religious | GB-NIR | gb_substitute
easter         | Easter Monday           | 1      | public religious | GB-NIR |
fixed          | Battle of the Boyne     | 7 12   | public          | GB-NIR | gb_substitute
nth_weekday    | Summer Bank Holiday     | 8 -1 0 | public          | GB-NIR |
#
# --- England (GB-ENG) / Wales (GB-WLS): vacanza/holidays 0.101 (MIT) splits
#     England and Wales into separate ISO 3166-2 subdivisions (GB-EAW above is
#     a pre-existing, non-ISO combined convenience code kept as-is); the two
#     regimes carry identical dates in vacanza so both are added, each with
#     its own code (holidays/countries/united_kingdom.py). Late Summer Bank
#     Holiday is the last Monday of August (2024-2025 only; year extension is
#     the concurrent branch's job).
easter         | Easter Monday               | 1      | public          | GB-ENG |
nth_weekday | Late Summer Bank Holiday | 8 -1 0 | public | GB-ENG | 
easter         | Easter Monday               | 1      | public          | GB-WLS |
nth_weekday | Late Summer Bank Holiday | 8 -1 0 | public | GB-WLS | 
