# civil-holidays v1
# jurisdiction: GH
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Ghana
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                     | 1 1                 | public          |  |  |  |
fixed         | Constitution Day                   | 1 7                 | public          |  |  |  |
decree        | Constitution Day (observed)        | 2024-1-8            | public          |  |  |  |
fixed         | Independence Day                   | 3 6                 | public          |  |  |  |
easter        | Good Friday                        | -2                  | public          |  |  |  |
easter        | Easter Monday                      | 1                   | public          |  |  |  |
decree        | Eid ul-Fitr                        | 2024-4-10 2025-3-30 2026-3-20 2027-3-9 | public          |  |  |  || eid_al_fitr
fixed         | May Day                            | 5 1                 | public          |  |  |  |
decree        | Eid ul-Adha                        | 2024-6-16 2025-6-6 2026-5-27 2027-5-16  | public          |  |  |  || eid_al_adha
fixed         | Founders' Day                      | 8 4                 | public          |  |  |  |
fixed         | Kwame Nkrumah Memorial Day         | 9 21                | public          |  |  |  |
nth_weekday | Farmer's Day | 12 1 4 | public |  |  |  | 
fixed         | Christmas Day                      | 12 25               | public          |  |  |  |
fixed         | Boxing Day                         | 12 26               | public          |  |  |  |
decree        | Eid ul-Adha (observed, estimated)  | 2024-6-17 2027-5-17           | public          |  |  |  |
decree        | Founders' Day (observed)           | 2024-8-5            | public          |  |  |  |
nth_weekday | Kwame Nkrumah Memorial Day (observed) | 9 4 0 | public |  |  |  | 
decree        | Eid ul-Fitr (observed, estimated)  | 2025-3-31           | public          |  |  |  |
