# civil-holidays v1
# jurisdiction: GL
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Greenland
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in kl via vacanza's own language support (language='kl'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Ukiortaaq                                | 1 1                  | public          |  |  |  |
easter        | Sisamanngortoq illernartoq               | -3 gregorian         | public          |  |  |  |
easter        | Tallimanngorneq tannaartoq               | -2 gregorian         | public          |  |  |  |
easter        | Poorskip ullua                           | 0 gregorian          | public          |  |  |  |
easter        | Poorskip-aappaa                          | 1 gregorian          | public          |  |  |  |
easter        | Ulloq qinuffiusoq                        | 26 gregorian         | public          |  |  |  |
easter        | Qilaliarfik                              | 39 gregorian         | public          |  |  |  |
easter        | Piinsip ullua                            | 49 gregorian         | public          |  |  |  |
easter        | Piinsip-aappaa                           | 50 gregorian         | public          |  |  |  |
fixed         | Juullip ullua                            | 12 25                | public          |  |  |  |
fixed         | Juullip-aappaa                           | 12 26                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | Kunngit pingasut ulluat | 1 6 | optional |  |
fixed | Sulisartut ulluat | 5 1 | optional |  |
fixed | Ullortuneq | 6 21 | optional |  |
fixed | Juulliaraq | 12 24 | optional |  |
fixed | Ukiortaami | 12 31 | optional |  |
