# civil-holidays v1
# jurisdiction: GQ
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Equatorial_Guinea
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in es via vacanza's own language support (language='es'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Año Nuevo                                | 1 1                  | public          |  |  |  |
decree        | Victoria de la AFCON contra Costa de Marfil | 2024-1-23            | public          |  |  |  |
fixed         | Día Internacional de la Mujer            | 3 8                  | public          |  |  |  |
easter        | Jueves Santo                             | -3 gregorian         | public          |  |  |  |
easter        | Viernes Santo                            | -2 gregorian         | public          |  |  |  |
fixed         | Día Internacional del Trabajo            | 5 1                  | public          |  |  |  |
fixed         | Día de la liberación Africana            | 5 25                 | public          |  |  |  |
easter        | Corpus Christi                           | 60 gregorian         | public          |  |  |  |
fixed         | Natalicio de Su Excelencia el Presidente de la República | 6 5                  | public          |  |  |  |
fixed         | Día de las Fuerzas Armadas               | 8 3                  | public          |  |  |  |
fixed         | Día de la Constitución                   | 8 15                 | public          |  |  |  |
fixed         | Día de la Independencia Nacional         | 10 12                | public          |  |  |  |
fixed         | Festividad de la Inmaculada Concepción de María | 12 8                 | public          |  |  |  |
fixed         | Día de Navidad                           | 12 25                | public          |  |  |  |
#
# --- Annobón (GQ-AN): vacanza/holidays 0.101 (MIT)
#     holidays/countries/equatorial_guinea.py -- patron-saint feast, fixed
#     both years.
fixed | Fiesta Patronal de Annobón | 6 13 | public | GQ-AN |
