# civil-holidays v1
# jurisdiction: HK
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Hongkong
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in zh_HK via vacanza's own language support (language='zh_HK'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | 一月一日                                     | 1 1                  | public          |  |  |  |
decree        | 農曆年初一                                    | 2024-2-10 2025-1-29 2026-2-17 2027-2-6  | public          |  |  |  || chinese_new_year
decree        | 農曆年初三                                    | 2024-2-12 2025-1-31 2026-2-19 2027-2-8  | public          |  |  |  |
decree        | 農曆年初四                                    | 2024-2-13 2027-2-9            | public          |  |  |  |
fixed         | 清明節                                      | 4 4                  | public          |  |  |  |
fixed         | 勞動節                                      | 5 1                  | public          |  |  |  |
decree        | 佛誕                                       | 2024-5-15 2025-5-5 2026-5-24 2027-5-13   | public          |  |  |  |
decree        | 端午節                                      | 2024-6-10 2025-5-31 2026-6-19 2027-6-9  | public          |  |  |  |
fixed         | 香港特別行政區成立紀念日                             | 7 1                  | public          |  |  |  |
decree        | 中秋節翌日                                    | 2024-9-18 2025-10-7 2026-9-26 2027-9-16  | public          |  |  |  |
fixed         | 國慶日                                      | 10 1                 | public          |  |  |  |
decree        | 重陽節                                      | 2024-10-11 2025-10-29 2026-10-18 2027-10-08 | public          |  |  |  |
fixed         | 聖誕節                                      | 12 25                | public          |  |  |  |
fixed         | 聖誕節後第一個周日                                | 12 26                | public          |  |  |  |
decree        | 農曆年初二                                    | 2025-1-30 2026-2-18            | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | 一月一日 | 1 1 | optional |  |  |  |
fixed  | 清明節 | 4 4 | optional |  |  |  |
fixed  | 勞動節 | 5 1 | optional |  |  |  |
fixed  | 香港特別行政區成立紀念日 | 7 1 | optional |  |  |  |
fixed  | 國慶日 | 10 1 | optional |  |  |  |
fixed  | 聖誕節 | 12 25 | optional |  |  |  |
fixed  | 聖誕節後第一個周日 | 12 26 | optional |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | 農曆年初四 | 2024-2-13 2027-2-9 | optional |  |  |  |
decree | 農曆年初一 | 2024-2-10 2025-1-29 2026-2-17 2027-2-6 | optional |  |  |  || chinese_new_year
decree | 農曆年初三 | 2024-2-12 2025-1-31 2026-2-19 2027-2-8 | optional |  |  |  |
decree | 耶穌受難節 | 2024-3-29 2025-4-18 | optional |  |  |  |
decree | 耶穌受難節翌日 | 2024-3-30 2025-4-19 | optional |  |  |  |
decree | 復活節星期一 | 2024-4-1 2025-4-21 2026-4-6 2027-3-29 | optional |  |  |  |
decree | 佛誕 | 2024-5-15 2025-5-5 2026-5-24 2027-5-13 | optional |  |  |  |
decree | 端午節 | 2024-6-10 2025-5-31 2026-6-19 2027-6-9 | optional |  |  |  |
decree | 中秋節翌日 | 2024-9-18 2025-10-7 2026-9-26 2027-9-16 | optional |  |  |  |
decree | 重陽節 | 2024-10-11 2025-10-29 2026-10-18 2027-10-08 | optional |  |  |  |
decree | 農曆年初二 | 2025-1-30 2026-2-18 | optional |  |  |  |
