# civil-holidays v1
# jurisdiction: ID
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Indonesia
#   (the annual SKB three-minister decree of "Hari Libur Nasional").
#   Cross-checked against vacanza/holidays 0.101 (MIT). Names are the official
#   Indonesian.
#
#   MAXIMAL MULTI-RELIGIOUS MIX — four calendars in one jurisdiction:
#     * Islamic (islamic_civil, tabulated): Isra Mikraj, Idul Fitri, Idul Adha,
#       Tahun Baru Islam, Maulid — arithmetic Hijri, ±1-2 days from the decreed
#       sighting dates (catalogued in the differential test).
#     * Balinese Saka (Nyepi) and Buddhist (Waisak) and Chinese (Imlek): these
#       lunar/lunisolar calendars are not in the engine's registry, so they are
#       decree rows carrying the SKB-gazetted dates (honest tabulation).
#     * Christian (Gregorian Easter): Wafat Yesus Kristus (Good Friday),
#       Kebangkitan (Easter Sunday, a national holiday only from 2024),
#       Kenaikan (Ascension) — exact Easter offsets.
#   The two 2024 electoral holidays (Pemilihan Umum / Kepala Daerah) are
#   one-off decree dates.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
# --- fixed civil ---
fixed | Tahun Baru Masehi                        | 1 1   | public          |  |
fixed | Hari Buruh Internasional                 | 5 1   | public          |  |
fixed | Hari Lahir Pancasila                     | 6 1   | public          |  |
fixed | Hari Kemerdekaan Republik Indonesia      | 8 17  | public          |  |
fixed | Hari Raya Natal                          | 12 25 | public religious |  |
#
# --- Christian (Gregorian Easter offsets) ---
easter | Wafat Yesus Kristus       | -2 | public religious |  |
easter | Kebangkitan Yesus Kristus | 0  | public religious |  |  | 2024-
easter | Kenaikan Yesus Kristus    | 39 | public religious |  |
#
# --- Islamic (tabular Hijri = islamic_civil) ---
calendar_date | Isra Mikraj Nabi Muhammad            | islamic_civil 7 27  | public religious |  |
calendar_date | Hari Raya Idul Fitri                 | islamic_civil 10 1  | public religious |  |
calendar_date | Hari kedua dari Hari Raya Idul Fitri | islamic_civil 10 2  | public religious |  |
calendar_date | Hari Raya Idul Adha                  | islamic_civil 12 10 | public religious |  |
calendar_date | Tahun Baru Islam                     | islamic_civil 1 1   | public religious |  |
calendar_date | Maulid Nabi Muhammad                 | islamic_civil 3 12  | public religious |  |
#
# --- decree-tabulated (Chinese / Balinese Saka / Buddhist / electoral) ---
decree | Tahun Baru Imlek   | 2023-01-22 2024-02-10 2025-01-29 2026-02-17 | public religious |  ||  |  | chinese_new_year
decree | Hari Suci Nyepi    | 2023-03-22 2024-03-11 2025-03-29 2026-03-19 2027-03-08 | public religious |  |
decree | Hari Raya Waisak   | 2023-06-04 2024-05-23 2025-05-12 2026-05-31 | public religious |  |
decree | Hari Pemilihan Umum          | 2024-02-14 | public |  |
decree | Hari Pemilihan Kepala Daerah | 2024-11-27 | public |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Cuti Bersama Hari Raya Natal | 12 26 | government |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Cuti Bersama Tahun Baru Imlek | 2024-2-9 2025-1-28 | government |  |  |  |
decree | Cuti Bersama Hari Suci Nyepi | 2024-3-12 2025-3-28 | government |  |  |  |
decree | Cuti Bersama Hari Raya Idul Fitri | 2024-4-8 2024-4-9 2024-4-12 2024-4-15 2025-4-2 2025-4-3 2025-4-4 2025-4-7 | government |  |  |  |
decree | Cuti Bersama Kenaikan Yesus Kristus | 2024-5-10 2025-5-30 | government |  |  |  |
decree | Cuti Bersama Hari Raya Waisak | 2024-5-24 2025-5-13 | government |  |  |  |
decree | Cuti Bersama Hari Raya Idul Adha | 2024-6-18 2025-6-9 | government |  |  |  |
decree | Cuti Bersama Hari Kemerdekaan Republik Indonesia | 2025-8-18 | government |  |  |  |
