# civil-holidays v1
# jurisdiction: IQ
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Iraq
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | رأس السنة الميلادية                | 1 1                 | public          |  |  |  |
fixed         | عيد الجيش                          | 1 6                 | public          |  |  |  |
fixed         | ثورة 8 شباط                        | 2 8                 | public          |  |  |  |
fixed         | عيد نوروز                          | 3 21                | public          |  |  |  |
decree        | عيد الفطر                          | 2024-4-10 2024-4-11 2024-4-12 2025-3-31 2025-4-1 2025-4-2 2026-3-20 2027-3-9| public          |  |  |  |
fixed         | عيد العمال العالمي                 | 5 1                 | public          |  |  |  |
decree        | يوم عرفة                           | 2024-6-15 2025-6-5 2026-5-26 2027-5-15  | public          |  |  |  |
decree        | عيد الأضحى                         | 2024-6-16 2024-6-17 2024-6-18 2025-6-6 2025-6-7 2025-6-8 2026-5-27 2027-5-16| public          |  |  |  |
decree        | رأس السنة الهجرية                  | 2024-7-7 2025-6-26 2026-6-16 2027-6-6  | public          |  |  |  |
decree        | عاشوراء                            | 2024-7-16 2025-7-5 2026-6-25 2027-6-15  | public          |  |  |  || ashura
decree        | المولد النبوي الشريف               | 2024-9-15 2025-9-4 2026-8-25 2027-8-14  | public          |  |  |  || mawlid
decree        | عيد الغدير                         | 2024-6-24 2025-6-15 2026-6-4 2027-5-24 | public          |  |  |  |
fixed         | ذكرى جرائم البعث والأنفال والهجوم على حلبجة| 3 16                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | عيد الميلاد | 12 25 | christian |  |  |  |
fixed  | مولد النبي يحيى عليه السلام | 5 17 | sabian |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | أحد الفصح | 2024-3-31 2025-4-20 | christian |  |  |  |
decree | إثنين الفصح | 2024-4-1 2025-4-21 | christian |  |  |  |
decree | يوما عيد البنجة | 2024-7-21 2024-7-22 2024-7-23 2024-7-24 2025-7-21 2025-7-22 2025-7-23 2025-7-24 | sabian |  |  |  |
decree | عيد الخليقة | 2024-3-13 2024-3-14 2024-3-15 2024-3-16 2024-3-17 2025-3-13 2025-3-14 2025-3-15 2025-3-16 2025-3-17 | sabian |  |  |  |
decree | عيد الصغير | 2024-4-9 2024-4-10 2025-4-9 2025-4-10 | sabian |  |  |  |
decree | رأس السنة الإيزيدية | 2024-4-17 2025-4-16 | yazidi |  |  |  |
decree | مهرجان الصيف اليزيدي | 2024-8-2 2024-8-3 2025-8-2 2025-8-3 | yazidi |  |  |  |
decree | عيد الجمعية | 2024-10-6 2024-10-7 2024-10-8 2024-10-9 2024-10-10 2024-10-11 2024-10-12 2024-10-13 2025-10-6 2025-10-7 2025-10-8 2025-10-9 2025-10-10 2025-10-11 2025-10-12 2025-10-13 | yazidi |  |  |  |
decree | عيد إيزي | 2024-12-20 2025-12-19 | yazidi |  |  |  |
