# civil-holidays v1
# jurisdiction: KE
# source: http://kenyalaw.org (Public Holidays Act, Cap. 110)
#   PRIMARY-VERIFIED against the Public Holidays Act (Cap. 110), as amended
#   by the Statute Law (Miscellaneous Amendments) Act 2024 which RENAMED the
#   10 October holiday from Utamaduni Day to Mazingira Day. The pre-rename
#   'Siku ya Utamaduni' 10-10 row was removed (Oct 10 in both 2024 and 2025
#   was already Mazingira Day); only 'Siku ya Mazingira' remains.
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Siku ya Mwaka Mpya                 | 1 1                 | public          |  |  |  |
easter        | Ijumaa Kuu                         | -2                  | public          |  |  |  |
easter        | Jumatatu ya Pasaka                 | 1                   | public          |  |  |  |
decree        | Sikukuu ya Idd-ul-Fitr             | 2024-4-10 2026-3-20 2027-3-9           | public          |  |  |  || eid_al_fitr
fixed         | Siku ya Kazi                       | 5 1                 | public          |  |  |  |
fixed         | Siku ya Madaraka                   | 6 1                 | public          |  |  |  |
fixed         | Siku ya Mashujaa                   | 10 20               | public          |  |  |  |
decree        | Siku ya Kitaifa ya Kupanda Miti    | 2024-5-10           | public          |  |  |  |
fixed         | Siku ya Jamhuri                    | 12 12               | public          |  |  |  |
fixed         | Siku ya Krismasi                   | 12 25               | public          |  |  |  |
fixed         | Siku ya Ndondi                     | 12 26               | public          |  |  |  |
decree        | Siku ya Mashujaa (imezingatiwa)    | 2024-10-21          | public          |  |  |  |
decree        | Siku ya Uzinduzi                   | 2024-11-1           | public          |  |  |  |
decree        | Sikukuu ya Idd-ul-Fitr (inakadiriwa)| 2025-3-30 2026-3-20 2027-3-9           | public          |  |  |  || eid_al_fitr
decree        | Sikukuu ya Idd-ul-Fitr (inazingatiwa, inakadiriwa)| 2025-3-31           | public          |  |  |  |
decree        | Siku ya Madaraka (imezingatiwa)    | 2025-6-2            | public          |  |  |  |
fixed         | Siku ya Mazingira                  | 10 10               | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Diwali | 2024-10-31 2025-11-19 | hindu |  |  |  |
decree | Idd-ul-Azha | 2024-6-17 | islamic |  |  |  |
decree | Idd-ul-Azha (estimated) | 2025-6-6 | islamic |  |  |  |
