# civil-holidays v1
# jurisdiction: KG
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Kyrgyzstan
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Жаңы жыл                                      | 1 1 | public          |  |  |  |
fixed         | Ыйса Пайгамбардын туулган күнү                | 1 7 | public          |  |  |  |
decree        | Ата-Журтту коргоонун күнү                     | 2024-2-23 | public          |  |  |  |
fixed         | Аялдардын эл аралык күнү                      | 3 8 | public          |  |  |  |
fixed         | Элдик Нооруз майрамы                          | 3 21 | public          |  |  |  |
decree        | Элдик Апрель революциясы күнү                 | 2024-4-7 | public          |  |  |  |
decree        | Орозо айт                                     | 2024-4-10 2025-3-30 2026-3-20 | public          |  |  |  || eid_al_fitr
fixed         | Эмгек майрамы                                 | 5 1 | public          |  |  |  |
fixed         | Кыргыз Республикасынын Конституция күнү       | 5 5 | public          |  |  |  |
fixed         | Жеңиш күнү                                    | 5 9 | public          |  |  |  |
decree        | Курман айт                                    | 2024-6-17 2025-6-6 2026-5-27 | public          |  |  |  |
fixed         | Кыргыз Республикасынын Көз карандысыздыгынын күнү | 8 31 | public          |  |  |  |
decree        | Тарых жана ата-бабаларды эскерүү күндөрү (1)  | 2024-11-7 | public          |  |  |  |
decree        | Тарых жана ата-бабаларды эскерүү күндөрү (2)  | 2024-11-8 | public          |  |  |  |
decree        | Кошумча эс алуу күнү (1)                      | 2025-1-3 | public          |  |  |  |
decree        | Кошумча эс алуу күнү (2)                      | 2025-1-6 | public          |  |  |  |
