# civil-holidays v1
# jurisdiction: KH
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Cambodia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | ទិវាចូលឆ្នាំសាកល                     | 1 1                  | public          |  |  |  |
fixed         | ទិវាជ័យជម្នះលើរបបប្រល័យពូជសាសន៍      | 1 7                  | public          |  |  |  |
fixed         | ទិវាអន្តរជាតិនារី                    | 3 8                  | public          |  |  |  |
decree        | ពិធីបុណ្យចូលឆ្នាំថ្មីប្រពៃណីជាតិ     | 2024-4-13 2024-4-14 2024-4-15 2024-4-16 2025-4-14 2025-4-15 2025-4-16 2026-4-14 2026-4-15 2026-4-16 2027-4-14 2027-4-15 2027-4-16 | public          |  |  |  |
fixed         | ទិវាពលកម្មអន្តរជាតិ                  | 5 1                  | public          |  |  |  |
fixed         | ព្រះរាជពិធីបុណ្យចម្រើនព្រះជន្ម ព្រះករុណា ព្រះបាទសម្តេចព្រះបរមនាថ នរោត្តម សីហមុនី | 5 14                 | public          |  |  |  |
decree        | ពិធីបុណ្យវិសាខបូជា                   | 2024-5-22 2025-5-11 2026-5-1 2027-5-20  | public          |  |  |  |
decree        | ព្រះរាជពិធីច្រត់ព្រះនង្គ័ល           | 2024-5-26 2025-5-15 2026-5-5 2027-5-24  | public          |  |  |  |
fixed         | ព្រះរាជពិធីបុណ្យចម្រើនព្រះជន្ម សម្តេចព្រះមហាក្សត្រី ព្រះវររាជមាតា នរោត្តម មុនិនាថ សីហនុ | 6 18                 | public          |  |  |  |
fixed         | ទិវាប្រកាសរដ្ឋធម្មនុញ្ញ              | 9 24                 | public          |  |  |  |
decree        | ពិធីបុណ្យភ្ផុំបិណ្ឌ                  | 2024-10-1 2024-10-2 2024-10-3 2025-9-21 2025-9-22 2025-9-23 2026-10-10 2026-10-11 2026-10-12 2027-9-29 2027-9-30 2027-10-1 | public          |  |  |  |
fixed         | ទិវាប្រារព្ឋពិធីគោរពព្រះវិញ្ញាណក្ខន្ឋ ព្រះករុណា ព្រះបាទសម្តេចព្រះ នរោត្តម សីហនុ ព្រះមហាវីរក្សត្រ ព្រះវររាជបិតាឯករាជ្យ បូរណភាពទឹកដី និងឯកភាពជាតិខ្មែរ ព្រះបរមរតនកោដ្ឋ | 10 15                | public          |  |  |  |
fixed         | ព្រះរាជពិធីគ្រងព្រះបរមរាជសម្បត្តិ របស់ ព្រះករុណា ព្រះបាទសម្តេចព្រះបរមនាថ នរោត្តម សីហមុនី ព្រះមហាក្សត្រនៃព្រះរាជាណាចក្រកម្ពុជា | 10 29                | public          |  |  |  |
fixed         | ពិធីបុណ្យឯករាជ្យជាតិ                 | 11 9                 | public          |  |  |  |
decree        | ព្រះរាជពិធីបុណ្យអុំទូក បណ្តែតប្រទីប និងសំពះព្រះខែអកអំបុក | 2024-11-14 2024-11-15 2024-11-16 2025-11-4 2025-11-5 2025-11-6 2026-11-23 2026-11-24 2026-11-25 2027-11-12 2027-11-13 2027-11-14 | public          |  |  |  |
fixed         | ទិវាសន្តិភាពនៅកម្ពុជា                | 12 29                | public          |  |  |  |
