# civil-holidays v1
# jurisdiction: KR
# source: https://www.law.go.kr (Regulations on Holidays of Government Offices, Presidential Decree)
#   PRIMARY-VERIFIED against the Regulations on Holidays of Government
#   Offices (관공서의 공휴일에 관한 규정), incl. the substitute-holiday
#   rule extended in 2021 and 2023. Fixed set confirmed; Seollal, Chuseok,
#   Buddha's Birthday (lunar) and substitute/temporary days modelled as decree.
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | 신정연휴                               | 1 1                 | public          |  |  |  |
decree        | 설날 전날                              | 2024-2-9 2025-1-28 2026-2-16 2027-2-6  | public          |  |  |  |
decree        | 설날                                 | 2024-2-10 2025-1-29 2026-2-17 2027-2-7 | public          |  |  |  |
decree        | 설날 다음날                             | 2024-2-11 2025-1-30 2026-2-18 2027-2-8 | public          |  |  |  |
decree        | 설날 대체 휴일                           | 2024-2-12 2027-2-9           | public          |  |  |  |
fixed         | 삼일절                                | 3 1                 | public          |  |  |  |
fixed         | 어린이날                               | 5 5                 | public          |  |  |  |
decree        | 부처님오신날                             | 2024-5-15 2025-5-5 2026-5-24 2027-5-13  | public          |  |  |  |
decree        | 부처님오신날 대체 휴일                       | 2025-5-6 2026-5-25            | public          |  |  |  |
fixed         | 현충일                                | 6 6                 | public          |  |  |  |
fixed         | 광복절                                | 8 15                | public          |  |  |  |
decree        | 추석 전날                              | 2024-9-16 2025-10-5 2026-9-24 2027-9-14 | public          |  |  |  |
decree        | 추석                                 | 2024-9-17 2025-10-6 2026-9-25 2027-9-15 | public          |  |  |  || mid_autumn
decree        | 추석 다음날                             | 2024-9-18 2025-10-7 2026-9-26 2027-9-16 | public          |  |  |  |
decree        | 임시공휴일                              | 2025-1-27           | public          |  |  |  |
fixed         | 개천절                                | 10 3                | public          |  |  |  |
fixed         | 한글날                                | 10 9                | public          |  |  |  |
fixed         | 기독탄신일                              | 12 25               | public          |  |  |  |
decree        | 국회의원 선거일                           | 2024-4-10           | public          |  |  |  |
fixed         | 어린이날 대체 휴일                         | 5 6                 | public          |  |  |  |
decree        | 국군의 날                              | 2024-10-1           | public          |  |  |  |
nth_weekday | 삼일절 대체 휴일 | 3 1 0 | public |  |  |  | 
decree        | 대통령 선거일                            | 2025-6-3            | public          |  |  |  |
decree        | 추석 대체 휴일                           | 2025-10-8           | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | 근로자의날 | 5 1 | bank |  |
