# civil-holidays v1
# jurisdiction: LB
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Lebanon
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in ar via vacanza's own language support (language='ar'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | رأس السنة الميلادية                      | 1 1                  | public          |  |  |  |
fixed         | عيد الميلاد عند الطوائف الارمنية الارثوذكسية | 1 6                  | public          |  |  |  |
fixed         | عيد مار مارون                            | 2 9                  | public          |  |  |  |
fixed         | عيد بشارة السيدة مريم العذراء            | 3 25                 | public          |  |  |  |
easter        | الجمعة العظيمة عند الطوائف الكاثوليكية   | -2 gregorian         | public          |  |  |  |
decree        | عيد الفطر (1)                            | 2024-4-10 2025-3-30 2026-3-20 2027-3-9  | public          |  |  |  || eid_al_fitr
decree        | عيد الفطر (2)                            | 2024-4-11 2025-3-31 2026-3-21 2027-3-10  | public          |  |  |  |
fixed         | عيد العمل                                | 5 1                  | public          |  |  |  |
easter        | الجمعة العظيمة عند الطوائف الأرثوذكسية   | -2 julian_gregorian_date | public          |  |  |  |
nth_weekday | عيد الشهداء | 5 1 6 | public |  |  |  | 
nth_weekday | عيد المقاومة والتحرير | 5 2 6 | public |  |  |  | 
decree        | عيد الأضحى (1)                           | 2024-6-16 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  || eid_al_adha
decree        | عيد الأضحى (2)                           | 2024-6-17 2025-6-7 2026-5-28 2027-5-17   | public          |  |  |  |
decree        | عيد رأس السنة الهجرية                    | 2024-7-7 2025-6-26 2026-6-16 2027-6-6   | public          |  |  |  |
decree        | عاشوراء                                  | 2024-7-16 2025-7-5 2026-6-25 2027-6-15   | public          |  |  |  || ashura
fixed         | عيد انتقال العذراء                       | 8 15                 | public          |  |  |  |
decree        | ذكرى المولد النبوي الشريف                | 2024-9-15 2025-9-4 2026-8-25 2027-8-14   | public          |  |  |  || mawlid
fixed         | ذكرى الاستقلال                           | 11 22                | public          |  |  |  |
fixed         | عيد الميلاد                              | 12 25                | public          |  |  |  |
decree        | سبت النور للطائفة الأرثوذكسية            | 2025-4-19            | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | يوم ذكرى رفيق الحريري | 2 14 | government |  |
fixed | ذكرى مأساة انفجار مرفأ بيروت | 8 4 | government |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | يوم ذكرى رفيق الحريري | 2024-2-14 2025-2-14 | bank |  |
decree | اثنين الفصح عند الطوائف الكاثوليكية | 2024-4-1 2025-4-21 | bank |  |
decree | اثنين الفصح عند الطوائف الأرثوذكسية | 2024-5-6 2025-4-21 | bank |  |
