# civil-holidays v1
# jurisdiction: LU
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Luxembourg
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in lb via vacanza's own language support (language='lb'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Neijoerschdag                            | 1 1                  | public          |  |  |  |
easter        | Ouschterméindeg                          | 1 gregorian          | public          |  |  |  |
fixed         | Dag vun der Aarbecht                     | 5 1                  | public          |  |  |  |
easter        | Christi Himmelfaart                      | 39 gregorian         | public          |  |  |  |
fixed         | Europadag                                | 5 9                  | public          |  |  |  |
easter        | Péngschtméindeg                          | 50 gregorian         | public          |  |  |  |
fixed         | Nationalfeierdag                         | 6 23                 | public          |  |  |  |
fixed         | Léiffrawëschdag                          | 8 15                 | public          |  |  |  |
fixed         | Allerhellgen                             | 11 1                 | public          |  |  |  |
fixed         | Chrëschtdag                              | 12 25                | public          |  |  |  |
fixed         | Stiefesdag                               | 12 26                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Karfreideg | 2024-3-29 2025-4-18 | bank |  |  |  | 
fixed  | Hellegowend (nomëtteg) | 12 24 | bank |  |  |  |
fixed  | Silvester | 12 31 | bank |  |  |  | 
