# civil-holidays v1
# jurisdiction: LV
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Latvia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in lv via vacanza's own language support (language='lv'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Jaungada diena                           | 1 1                  | public          |  |  |  |
easter        | Lielā Piektdiena                         | -2 gregorian         | public          |  |  |  |
easter        | Pirmās Lieldienas                        | 0 gregorian          | public          |  |  |  |
easter        | Otrās Lieldienas                         | 1 gregorian          | public          |  |  |  |
fixed         | Darba svētki                             | 5 1                  | public          |  |  |  |
fixed         | Latvijas Republikas Satversmes sapulces sasaukšanas diena | 5 1                  | public          |  |  |  |
fixed         | Latvijas Republikas Neatkarības atjaunošanas diena | 5 4                  | public          |  |  |  |
nth_weekday | Latvijas Republikas Neatkarības atjaunošanas diena (brīvdiena) | 5 1 0 | public |  |  |  | 
nth_weekday | Mātes diena | 5 2 6 | public |  |  |  | 
easter        | Vasarsvētki                              | 49 gregorian         | public          |  |  |  |
fixed         | Līgo diena                               | 6 23                 | public          |  |  |  |
fixed         | Jāņu diena                               | 6 24                 | public          |  |  |  |
fixed         | Latvijas Republikas Proklamēšanas diena  | 11 18                | public          |  |  |  |
decree        | Brīvdiena (pārcelta no 14.12.2024)       | 2024-12-23           | public          |  |  |  |
fixed         | Ziemassvētku vakars                      | 12 24                | public          |  |  |  |
fixed         | Pirmie Ziemassvētki                      | 12 25                | public          |  |  |  |
fixed         | Otrie Ziemassvētki                       | 12 26                | public          |  |  |  |
decree        | Brīvdiena (pārcelta no 28.12.2024)       | 2024-12-30           | public          |  |  |  |
fixed         | Vecgada diena                            | 12 31                | public          |  |  |  |
decree        | Brīvdiena (pārcelta no 10.05.2025)       | 2025-5-2             | public          |  |  |  |
decree        | Brīvdiena (pārcelta no 08.11.2025)       | 2025-11-17           | public          |  |  |  |
