# civil-holidays v1
# jurisdiction: MG
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Madagascar
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Taom-baovao                          | 1 1                  | public          |  |  |  |
fixed         | Fetin'ny vehivavy                    | 3 8                  | public          |  |  |  |
fixed         | Fetin'ny mahery fo                   | 3 29                 | public          |  |  |  |
easter        | Fetin'ny paska                       | 0                    | public          |  |  |  |
easter        | Alatsinain'ny paska                  | 1                    | public          |  |  |  |
fixed         | Fetin'ny asa                         | 5 1                  | public          |  |  |  |
easter        | Fiakaran'ny Jesosy kristy tany an-danitra | 39                   | public          |  |  |  |
easter        | Pentekosta                           | 49                   | public          |  |  |  |
easter        | Alatsinain'ny pentekosta             | 50                   | public          |  |  |  |
nth_weekday | Fetin'ny reny | 5 -1 6 | public |  |  |  | 
nth_weekday | Fetin'ny ray | 6 3 6 | public |  |  |  | 
fixed         | Fetin'ny fahaleovantena              | 6 26                 | public          |  |  |  |
fixed         | Fiakaran'ny Masina Maria tany an-danitra | 8 15                 | public          |  |  |  |
fixed         | Fetin'ny olo-masina                  | 11 1                 | public          |  |  |  |
fixed         | Fetin'ny Repoblika                   | 12 11                | public          |  |  |  |
fixed         | Fetin'ny noely                       | 12 25                | public          |  |  |  |
