# civil-holidays v1
# jurisdiction: MO
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Macau
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in zh_MO via vacanza's own language support (language='zh_MO'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | 元旦                                       | 1 1                  | public          |  |  |  |
decree        | 農曆正月初一                                   | 2024-2-10 2025-1-29 2026-2-17 2027-2-6  | public          |  |  |  || chinese_new_year
decree        | 農曆正月初二                                   | 2024-2-11 2025-1-30 2026-2-18 2027-2-7  | public          |  |  |  |
decree        | 農曆正月初三                                   | 2024-2-12 2025-1-31 2026-2-19 2027-2-8  | public          |  |  |  |
fixed         | 清明節                                      | 4 4                  | public          |  |  |  |
fixed         | 勞動節                                      | 5 1                  | public          |  |  |  |
decree        | 中秋節翌日                                    | 2024-9-18 2025-10-7 2026-9-26 2027-9-16  | public          |  |  |  |
fixed         | 中華人民共和國國慶日                               | 10 1                 | public          |  |  |  |
decree        | 重陽節                                      | 2024-10-11 2025-10-29 2026-10-18 2027-10-08 | public          |  |  |  |
fixed         | 澳門特別行政區成立紀念日                             | 12 20                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | 農曆除夕（下午） | 2024-2-9 2025-1-28 | government |  |  |  | 
decree | 農曆正月初一的補假 | 2024-2-13 | government |  |  |  | 
decree | 農曆正月初二的補假 | 2024-2-14 | government |  |  |  | 
decree | 復活節前日 | 2024-3-30 2025-4-19 | government |  |  |  | 
decree | 復活節前日的補假 | 2024-4-1 2025-4-21 | government |  |  |  | 
decree | 佛誕節 | 2024-5-15 2025-5-5 | government |  |  |  | 
decree | 端午節 | 2024-6-10 2025-5-31 | government |  |  |  | 
decree | 端午節的補假 | 2025-6-2 | government |  |  |  | 
fixed  | 中華人民共和國國慶日翌日 | 10 2 | government |  |  |  | 
fixed  | 追思節 | 11 2 | government |  |  |  | 
decree | 追思節的補假 | 2024-11-4 2025-11-3 | government |  |  |  | 
fixed  | 聖母無原罪瞻禮 | 12 8 | government |  |  |  | 
decree | 聖母無原罪瞻禮的補假 | 2024-12-9 | government |  |  |  | 
fixed  | 冬至 | 12 21 | government |  |  |  | 
decree | 澳門特別行政區成立紀念日的補假 | 2025-12-22 | government |  |  |  | 
fixed  | 冬至的補假 | 12 23 | government |  |  |  | 
fixed  | 聖誕節前日 | 12 24 | government |  |  |  | 
fixed  | 聖誕節 | 12 25 | government |  |  |  | 
fixed  | 除夕（下午） | 12 31 | government |  |  |  | 
decree | 耶穌受難日 | 2024-3-29 2025-4-18 | optional |  |  |  | 
decree | 復活節前日 | 2024-3-30 2025-4-19 | optional |  |  |  | 
decree | 佛誕節 | 2024-5-15 2025-5-5 | optional |  |  |  | 
decree | 端午節 | 2024-6-10 2025-5-31 | optional |  |  |  | 
fixed  | 中華人民共和國國慶日翌日 | 10 2 | optional |  |  |  | 
fixed  | 追思節 | 11 2 | optional |  |  |  | 
fixed  | 聖母無原罪瞻禮 | 12 8 | optional |  |  |  | 
fixed  | 冬至 | 12 21 | optional |  |  |  | 
fixed  | 聖誕節前日 | 12 24 | optional |  |  |  | 
fixed  | 聖誕節 | 12 25 | optional |  |  |  | 
