# civil-holidays v1
# jurisdiction: MT
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Malta
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in mt via vacanza's own language support (language='mt'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | L-Ewwel tas-Sena                         | 1 1                  | public          |  |  |  |
fixed         | Il-Festa tan-Nawfraġju ta' San Pawl      | 2 10                 | public          |  |  |  |
fixed         | Il-Festa ta' San Ġużepp                  | 3 19                 | public          |  |  |  |
easter        | Il-Ġimgħa l-Kbira                        | -2 gregorian         | public          |  |  |  |
fixed         | Jum il-Ħelsien                           | 3 31                 | public          |  |  |  |
fixed         | Jum il-Ħaddiem                           | 5 1                  | public          |  |  |  |
fixed         | Sette Giugno                             | 6 7                  | public          |  |  |  |
fixed         | Il-Festa ta' San Pietru u San Pawl       | 6 29                 | public          |  |  |  |
fixed         | Il-Festa ta' Santa Marija                | 8 15                 | public          |  |  |  |
fixed         | Jum il-Vitorja                           | 9 8                  | public          |  |  |  |
fixed         | Jum l-Indipendenza                       | 9 21                 | public          |  |  |  |
fixed         | Il-Festa tal-Immakulata Kunċizzjoni      | 12 8                 | public          |  |  |  |
fixed         | Jum ir-Repubblika                        | 12 13                | public          |  |  |  |
fixed         | Il-Milied                                | 12 25                | public          |  |  |  |
