# civil-holidays v1
# jurisdiction: MY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Malaysia
#   (the federal gazetted holidays, Holidays Act 1951). Cross-checked against
#   vacanza/holidays 0.101 (MIT). Names are the official Malay.
#
#   MAXIMAL CALENDAR MIXER — Islamic + Chinese + Hindu + Buddhist + civil:
#     * Islamic (islamic_civil, tabulated): Hari Raya Puasa, Hari Raya Qurban,
#       Awal Muharam, Hari Keputeraan Nabi Muhammad — arithmetic Hijri, ±1-2
#       days from the sighted dates (catalogued in the differential test).
#     * Chinese (Tahun Baharu Cina), Buddhist (Hari Wesak) and Hindu (Hari
#       Deepavali): decree rows carrying the gazetted dates. Deepavali is
#       federally gazetted but the reference package places it only at the
#       state level, so it is an our-only national row here.
#     * Hari Keputeraan Agong (the King's official birthday) is fixed by
#       proclamation to the first Monday of June — an nth_weekday rule.
#   The remaining national days are fixed Gregorian dates.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
# --- fixed civil ---
fixed | Hari Pekerja      | 5 1   | public          |  |
fixed | Hari Kebangsaan   | 8 31  | public          |  |
fixed | Hari Malaysia     | 9 16  | public          |  |
fixed | Hari Krismas      | 12 25 | public religious |  |
#
# --- King's official birthday (first Monday of June, by proclamation) ---
nth_weekday | Hari Keputeraan Rasmi Seri Paduka Baginda Yang di-Pertuan Agong | 6 1 0 | public |  |
#
# --- Islamic (tabular Hijri = islamic_civil) ---
calendar_date | Hari Raya Puasa                 | islamic_civil 10 1  | public religious |  |
calendar_date | Hari Raya Puasa (Hari Kedua)    | islamic_civil 10 2  | public religious |  |
calendar_date | Hari Raya Qurban                | islamic_civil 12 10 | public religious |  |
calendar_date | Awal Muharam                    | islamic_civil 1 1   | public religious |  |
calendar_date | Hari Keputeraan Nabi Muhammad S.A.W. | islamic_civil 3 12 | public religious |  |
#
# --- decree-tabulated (Chinese / Buddhist / Hindu) ---
decree | Tahun Baharu Cina              | 2023-01-22 2024-02-10 2025-01-29 2026-02-17 | public religious |  ||  |  | chinese_new_year
decree | Tahun Baharu Cina (Hari Kedua) | 2023-01-23 2024-02-11 2025-01-30 2026-02-18 | public religious |  |
decree | Hari Wesak                     | 2023-05-04 2024-05-22 2025-05-12 2026-05-31 | public religious |  |
decree | Hari Deepavali                 | 2023-11-12 2024-10-31 2025-10-20 | public religious |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# MY-01
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-01 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-01 |  |  | 
decree | Hari Hol Almarhum Sultan Iskandar | 2024-8-11 2025-7-31 2026-7-21 | regional | MY-01 |  |  | 
decree | Awal Ramadan | 2024-3-12 2025-3-2 2026-2-19 | regional | MY-01 |  |  | 
fixed | Cuti Awal Ramadan | 3 3 | regional | MY-01 |  |  | 
fixed | Hari Keputeraan Sultan Johor | 3 23 | regional | MY-01 |  |  | 
# MY-02
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-02 |  |  | 
decree | Israk dan Mikraj | 2024-2-8 2025-1-27 2026-1-17 | regional religious | MY-02 |  |  | 
decree | Hari Keputeraan Sultan Kedah | 2024-6-30 2025-6-15 2026-6-21 2027-6-20 | regional | MY-02 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-02 |  |  | 
decree | Awal Ramadan | 2024-3-12 2025-3-2 2026-2-19 | regional | MY-02 |  |  | 
fixed | Cuti Hari Keputeraan Nabi Muhammad S.A.W. | 9 7 | regional religious | MY-02 |  |  | 
decree | Hari Raya Qurban (Hari Kedua) | 2024-6-18 2025-6-8 2026-5-28 | regional religious | MY-02 |  |  | 
# MY-03
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-03 |  |  | 
decree | Hari Keputeraan Sultan Kelantan | 2024-9-29 2024-9-30 2025-9-29 2025-9-30 2026-9-29 2026-9-30 2027-9-29 2027-9-30 | regional | MY-03 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-03 |  |  | 
fixed | Cuti Hari Raya Qurban | 6 9 | regional religious | MY-03 |  |  | 
fixed | Cuti Hari Kebangsaan | 9 1 | regional | MY-03 |  |  | 
decree | Hari Raya Qurban (Hari Kedua) | 2024-6-18 2025-6-8 2026-5-28 | regional religious | MY-03 |  |  | 
decree | Hari Arafah | 2024-6-16 2025-6-6 2026-5-26 | regional religious | MY-03 |  |  | 
fixed | Cuti Tahun Baharu Cina | 2 12 | regional | MY-03 |  |  | 
# MY-04
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-04 |  |  | 
decree | Hari Raya Puasa (Hari Ketiga) | 2025-4-2 2026-3-23 | regional | MY-04 |  |  | 
fixed | Cuti Hari Jadi Yang di-Pertua Negeri Melaka | 8 25 | regional | MY-04 |  |  | 
fixed | Hari Pengisytiharan Tarikh Kemerdekaan | 2 20 | regional | MY-04 |  |  | 
fixed | Awal Ramadan | 3 12 | regional | MY-04 |  |  | 
fixed | Hari Jadi Yang di-Pertua Negeri Melaka | 8 24 | regional | MY-04 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-04 |  |  | 
# MY-05
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-05 |  |  | 
decree | Israk dan Mikraj | 2024-2-8 2025-1-27 2026-1-17 | regional religious | MY-05 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-05 |  |  | 
fixed | Hari Keputeraan Yang di-Pertuan Besar Negeri Sembilan | 1 14 | regional | MY-05 |  |  | 
fixed | Cuti Hari Keputeraan Yang di-Pertuan Besar Negeri Sembilan | 1 15 | regional | MY-05 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-05 |  |  | 
# MY-06
fixed | Hari Keputeraan Sultan Pahang | 7 30 | regional | MY-06 |  |  | 
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-06 |  |  | 
decree | Hari Wesak | 2025-5-12 2026-5-31 | regional | MY-06 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-06 |  |  | 
fixed | Hari Hol Sultan Pahang; Hari Wesak | 5 22 | regional | MY-06 |  |  | 
fixed | Hari Hol Sultan Pahang | 5 22 | regional | MY-06 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-06 |  |  | 
# MY-07
fixed | Awal Muharam; Hari Ulang Tahun Perisytiharan Tapak Warisan Dunia | 7 7 | regional | MY-07 |  |  | 
nth_weekday | Hari Jadi Yang di-Pertua Negeri Pulau Pinang | 7 2 5 | regional | MY-07 |  |  | 
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-07 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-07 |  |  | 
