# civil-holidays v1
# jurisdiction: NG
# source: https://www.commonlii.org/ng/legis/num_act/pha163/
#   PRIMARY-VERIFIED against the Public Holidays Act (Cap. P40), Schedule,
#   as amended by the 2018 proclamation moving Democracy Day to 12 June.
#   Fixed civil/Christian set confirmed; Islamic days (Id el Fitr/Kabir/
#   Maulud) are gazetted per year by the Ministry of Interior (decree).
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                     | 1 1                 | public          |  |  |  |
easter        | Good Friday                        | -2                  | public          |  |  |  |
easter        | Easter Monday                      | 1                   | public          |  |  |  |
decree        | Id el Fitr                         | 2024-4-10 2025-3-30 2026-3-19 | public          |  |  |  |
decree        | Id el Fitr Holiday                 | 2024-4-11 2025-3-31 2026-3-20 | public          |  |  |  |
fixed         | Workers' Day                       | 5 1                 | public          |  |  |  |
fixed         | Democracy Day                      | 6 12                | public          |  |  |  |
decree        | Id el Kabir                        | 2024-6-16 2025-6-6 2026-5-28 2027-5-17  | public          |  |  |  |
decree        | Id el Kabir Holiday                | 2024-6-17 2025-6-7 2026-5-29 2027-5-18  | public          |  |  |  |
decree        | Id el Maulud                       | 2024-9-16 2025-9-5 2026-8-26 2027-8-15  | public          |  |  |  |
fixed         | National Day                       | 10 1                | public          |  |  |  |
fixed         | Christmas Day                      | 12 25               | public          |  |  |  |
fixed         | Boxing Day                         | 12 26               | public          |  |  |  |
decree        | Id el Kabir (observed)             | 2024-6-18           | public          |  |  |  |
decree        | Id el Fitr (observed)              | 2025-4-1            | public          |  |  |  |
decree        | Id el Kabir Holiday (observed)     | 2025-6-9            | public          |  |  |  |
decree        | Day of Mourning for President Muhammadu Buhari| 2025-7-15           | public          |  |  |  |
