# civil-holidays v1
# jurisdiction: NZ
# source: https://en.wikipedia.org/wiki/Public_holidays_in_New_Zealand
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names
#   are English, New Zealand's official working language for holiday
#   naming as vacanza publishes it; vacanza carries no separate te reo
#   Māori rendering. King's Birthday (1st Monday of June), Labour Day
#   (4th Monday of October) and Matariki (a lunar Māori new-year date with
#   no closed-form civil rule) have no fixed month/day stable across both
#   sample years and are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025. Good Friday/Easter Monday offsets from
#   chronologia's own easter() were independently confirmed to hold in
#   both 2024 and 2025.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                        | 1 1 | public          |  |  |  |
fixed         | Day after New Year's Day                 | 1 2 | public          |  |  |  |
fixed         | Waitangi Day                          | 2 6 | public          |  |  |  |
easter        | Good Friday                           | -2 | public          |  |  |  |
easter        | Easter Monday                          | 1 | public          |  |  |  |
fixed         | Anzac Day                             | 4 25 | public          |  |  |  |
nth_weekday | King's Birthday | 6 1 0 | public |  |  |  | 
decree        | Matariki                              | 2024-6-28 2025-6-20 2026-7-10 2027-6-25 | public          |  |  |  |
nth_weekday | Labour Day | 10 4 0 | public |  |  |  | 
fixed         | Christmas Day                         | 12 25 | public          |  |  |  |
fixed         | Boxing Day                            | 12 26 | public          |  |  |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# NZ-AUK
decree | Auckland Anniversary Day | 2024-1-29 2025-1-27 2026-1-26 2027-2-1 | regional | NZ-AUK |  |  | 
# NZ-CAN
weekday_onbefore | Canterbury Anniversary Day | 11 15 4 | regional | NZ-CAN |  |  | 
# NZ-CIT
decree | Chatham Islands Anniversary Day | 2024-12-2 2025-12-1 2026-11-30 2027-11-29 | regional | NZ-CIT |  |  | 
# NZ-HKB
weekday_onbefore | Hawke's Bay Anniversary Day | 10 25 4 | regional | NZ-HKB |  |  | 
# NZ-MBH
nth_weekday | Marlborough Anniversary Day | 11 1 0 | regional | NZ-MBH |  |  | 
# NZ-NSN
decree | Nelson Anniversary Day | 2024-1-29 2025-2-3 2026-2-2 2027-2-1 | regional | NZ-NSN |  |  | 
# NZ-NTL
decree | Auckland Anniversary Day | 2024-1-29 2025-1-27 2026-1-26 2027-2-1 | regional | NZ-NTL |  |  | 
# NZ-OTA
weekday_onbefore | Otago Anniversary Day | 3 25 0 | regional | NZ-OTA |  |  | 
# NZ-STL
easter | Southland Anniversary Day | 2 | regional | NZ-STL |  |  | 
# NZ-TKI
nth_weekday | Taranaki Anniversary Day | 3 2 0 | regional | NZ-TKI |  |  | 
# NZ-WGN
weekday_onbefore | Wellington Anniversary Day | 1 25 0 | regional | NZ-WGN |  |  | 
# NZ-WTC
decree | West Coast Anniversary Day | 2024-12-2 2025-12-1 2026-11-30 2027-11-29 | regional | NZ-WTC |  |  | 
