# civil-holidays v1
# jurisdiction: PH
# source: https://www.officialgazette.gov.ph (Proclamation 368 s.2023; 727 s.2024)
#   PRIMARY-VERIFIED against Malacanang Proclamation No. 368 s.2023 (2024
#   dates) and No. 727 s.2024 (2025 dates). All regular holidays and special
#   non-working days confirmed; Eid al-Fitr / Eid al-Adha are proclaimed per
#   year by the President on NCMF recommendation (decree).
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Bagong Taon                        | 1 1                 | public          |  |  |  |
decree        | Karagdagang Espesyal na Araw (Walang Trabajo)| 2024-2-9 2024-11-2 2024-12-24 2025-7-27| public          |  |  |  |
easter        | Huwebes Santo                      | -3                  | public          |  |  |  |
easter        | Biyernes Santo                     | -2                  | public          |  |  |  |
easter        | Sabado de Gloria                   | -1                  | public          |  |  |  |
fixed | Araw ng Kagitingan | 4 9 | public |  |  |  | 
decree        | Eid al-Fitr                        | 2024-4-10 2025-4-1 2026-3-20  | public          |  |  |  |
fixed         | Araw ng Paggawa                    | 5 1                 | public          |  |  |  |
fixed         | Araw ng Kalayaan                   | 6 12                | public          |  |  |  |
decree        | Eid al-Adha                        | 2024-6-17 2025-6-6 2026-5-27  | public          |  |  |  |
decree        | Araw ng Kabayanihan ni Ninoy Aquino| 2024-8-23 2025-8-21 2026-8-21 2027-8-21 | public          |  |  |  |
nth_weekday | Araw ng mga Bayani | 8 -1 0 | public |  |  |  | 
decree        | Araw ng Halalan (Walang Trabajo)   | 2025-5-12           | public          |  |  |  |
fixed         | Araw ng mga Santo                  | 11 1                | public          |  |  |  |
fixed | Araw ng Kabayanihan ni Bonifacio | 11 30 | public |  |  |  | 
fixed         | Dakilang Kapistahan ng Kalinis-linisang Paglilihi sa Mahal na Birheng Maria| 12 8                | public          |  |  |  |
fixed         | Pasko                              | 12 25               | public          |  |  |  |
fixed         | Araw ng Kabayanihan ni Rizal       | 12 30               | public          |  |  |  |
fixed         | Bisperas ng Bagong Taon            | 12 31               | public          |  |  |  |
decree        | Bagong Taon ng mga Tsino           | 2024-2-10 2025-1-29 2026-2-17 2027-2-6 | public          |  |  |  || chinese_new_year
decree        | Bisperas ng Araw ng mga Santo      | 2025-10-31          | public          |  |  |  |
fixed         | Bisperas ng Pasko                  | 12 24               | public          |  |  |  |
