# civil-holidays v1
# jurisdiction: PN
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Pitcairn_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. vacanza has no
#   native-language rendering registered for PN at this version, so
#   names are the honest English fallback vacanza publishes -- flagged
#   here rather than passed off as an official-language name. Not
#   independently re-verified against the government gazette, per the
#   house rule that permits vacanza-derived data as long as it is flagged
#   as such. Movable/lunar/lunisolar holidays with no closed-form rule
#   modelled here are captured as 'decree' (explicit per-year dates) for
#   2024-2025, silent outside those years rather than fabricated.
#   Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were
#   stripped and merged into the base holiday. Multi-day clusters that do
#   not reduce to a single fixed or Easter-offset rule are split into one
#   row per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Bounty Day                               | 1 23                 | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
nth_weekday | King's Birthday | 6 1 0 | public |  |  |  | 
fixed         | Pitcairn Day                             | 7 2                  | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | New Year's Day | 1 2 | government |  |
