# civil-holidays v1
# jurisdiction: PS
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Palestine
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in ar via vacanza's own language support (language='ar'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | رأس السنة الميلادي                       | 1 1                  | public          |  |  |  |
fixed         | عيد الميلاد المجيد الشرقي                | 1 7                  | public          |  |  |  |
decree        | ذكرى الإسراء والمعراج                    | 2024-2-8 2025-1-27 2026-1-16 2027-1-5 2027-12-25   | public          |  |  |  |
fixed         | يوم المراة العالمي                       | 3 8                  | public          |  |  |  |
decree        | عيد الفصح المجيد (1)                     | 2024-3-31 2026-4-5 2027-3-28            | public          |  |  |  |
decree        | عيد الفطر السعيد (1)                     | 2024-4-10 2025-3-30 2026-3-20 2027-3-9  | public          |  |  |  || eid_al_fitr
decree        | عيد الفطر السعيد (2)                     | 2024-4-11 2025-3-31 2026-3-21 2027-3-10  | public          |  |  |  |
decree        | عيد الفطر السعيد (3)                     | 2024-4-12 2025-4-1 2026-3-22 2027-3-11   | public          |  |  |  |
fixed         | عيد العمال                               | 5 1                  | public          |  |  |  |
decree        | عيد الفصح المجيد (2)                     | 2024-5-5 2026-4-12 2027-5-2             | public          |  |  |  |
decree        | عيد الأضحى المبارك (1)                   | 2024-6-16 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  || eid_al_adha
decree        | عيد الأضحى المبارك (2)                   | 2024-6-17 2025-6-7 2026-5-28 2027-5-17   | public          |  |  |  |
decree        | عيد الأضحى المبارك (3)                   | 2024-6-18 2025-6-8 2026-5-29 2027-5-18   | public          |  |  |  |
decree        | عيد الأضحى المبارك (4)                   | 2024-6-19 2025-6-9 2026-5-30 2027-5-19   | public          |  |  |  |
decree        | رأس السنة الهجرية                        | 2024-7-7 2025-6-26 2026-6-16 2027-6-6   | public          |  |  |  |
decree        | ذكرى المولد النبوي الشريف                | 2024-9-15 2025-9-4 2026-8-25 2027-8-14   | public          |  |  |  || mawlid
fixed         | عيد الإستقلال                            | 11 15                | public          |  |  |  |
fixed         | عيد الميلاد المجيد الغربي                | 12 25                | public          |  |  |  |
decree        | عيد الفصح المجيد                         | 2025-4-20 2026-4-5 2026-4-12 2027-3-28 2027-5-2            | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
fixed  | عيد الغطاس | 1 6 | catholic |  |  |  | 
decree | أحد الشعانين | 2024-3-24 2025-4-13 | catholic |  |  |  | 
decree | خميس الغسل | 2024-3-28 2025-4-17 | catholic |  |  |  | 
decree | الجمعة العظيمة | 2024-3-29 2025-4-18 | catholic |  |  |  | 
decree | سبت النور | 2024-3-30 2025-4-19 | catholic |  |  |  | 
decree | عيد الفصح المجيد | 2024-4-1 2025-4-21 2026-4-5 2026-4-12 2027-3-28 2027-5-2 | catholic |  |  |  | 
decree | خميس الصعود | 2024-5-9 2025-5-29 | catholic |  |  |  | 
decree | أحد العنصرة | 2024-5-19 | catholic |  |  |  | 
fixed  | عيد الميلاد المجيد الغربي | 12 26 | catholic |  |  |  | 
fixed  | عيد الميلاد المجيد الشرقي | 1 8 | orthodox |  |  |  | 
fixed  | عيد رأس السنة الشرقي | 1 14 | orthodox |  |  |  | 
fixed  | عيد الغطاس | 1 19 | orthodox |  |  |  | 
decree | أحد الشعانين | 2024-4-28 2025-4-13 | orthodox |  |  |  | 
decree | خميس الغسل | 2024-5-2 2025-4-17 | orthodox |  |  |  | 
decree | الجمعة العظيمة | 2024-5-3 2025-4-18 | orthodox |  |  |  | 
decree | سبت النور | 2024-5-4 2025-4-19 | orthodox |  |  |  | 
decree | عيد الفصح المجيد | 2024-5-6 2025-4-21 2026-4-5 2026-4-12 2027-3-28 2027-5-2 | orthodox |  |  |  | 
decree | خميس الصعود | 2024-6-13 2025-5-29 | orthodox |  |  |  | 
decree | أحد العنصرة | 2024-6-23 | orthodox |  |  |  | 
