# civil-holidays v1
# jurisdiction: RW
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Rwanda
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Ubunani                              | 1 1                  | public          |  |  |  |
fixed         | Umunsi ukurikira Ubunani             | 1 2                  | public          |  |  |  |
fixed         | Umunsi w'Intwari                     | 2 1                  | public          |  |  |  |
easter        | Umunsi wa Gatanu Mutagatifu          | -2                   | public          |  |  |  |
easter        | Ku wa mbere wa Pasika                | 1                    | public          |  |  |  |
fixed         | Umunsi wo Kwibuka Jenoside yakorewe Abatutsi mu 1994 | 4 7                  | public          |  |  |  |
decree        | Eid El Fitr                          | 2024-4-10 2025-3-31 2026-3-20 2027-3-9  | public          |  |  |  |
fixed         | Umunsi Mukuru w'Umurimo              | 5 1                  | public          |  |  |  |
decree        | Eid al-Adha                          | 2024-6-16 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  || eid_al_adha
decree        | Eid al-Adha (yizihijwe)              | 2024-6-17            | public          |  |  |  |
fixed         | Umunsi w'Ubwigenge                   | 7 1                  | public          |  |  |  |
fixed         | Umunsi wo Kwibohora                  | 7 4                  | public          |  |  |  |
nth_weekday | Umunsi w'Umuganura | 8 1 4 | public |  |  |  | 
fixed         | Ijyanwa mu Ijuru rya Bikiramariya    | 8 15                 | public          |  |  |  |
fixed         | Noheli                               | 12 25                | public          |  |  |  |
fixed         | Umunsi ukurikira Noheli              | 12 26                | public          |  |  |  |
nth_weekday | Umunsi w'Intwari (yizihijwe) | 2 1 0 | public |  |  |  | 
