# civil-holidays v1
# jurisdiction: SI
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Slovenia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in sl via vacanza's own language support (language='sl'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | novo leto (1)                            | 1 1                  | public          |  |  |  |
fixed         | novo leto (2)                            | 1 2                  | public          |  |  |  |
fixed         | Prešernov dan, slovenski kulturni praznik | 2 8                  | public          |  |  |  |
easter        | velikonočna nedelja                      | 0 gregorian          | public          |  |  |  |
easter        | velikonočni ponedeljek                   | 1 gregorian          | public          |  |  |  |
fixed         | dan upora proti okupatorju               | 4 27                 | public          |  |  |  |
fixed         | praznik dela (1)                         | 5 1                  | public          |  |  |  |
fixed         | praznik dela (2)                         | 5 2                  | public          |  |  |  |
easter        | binkoštna nedelja                        | 49 gregorian         | public          |  |  |  |
fixed         | dan državnosti                           | 6 25                 | public          |  |  |  |
fixed         | Marijino vnebovzetje                     | 8 15                 | public          |  |  |  |
fixed         | dan reformacije                          | 10 31                | public          |  |  |  |
fixed         | dan spomina na mrtve                     | 11 1                 | public          |  |  |  |
fixed         | božič                                    | 12 25                | public          |  |  |  |
fixed         | dan samostojnosti in enotnosti           | 12 26                | public          |  |  |  |
