# civil-holidays v1
# jurisdiction: SR
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Suriname
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in nl via vacanza's own language support (language='nl'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Nieuwjaarsdag                            | 1 1                  | public          |  |  |  |
decree        | Chinees Nieuwjaar                        | 2024-2-10 2025-1-29 2026-2-17 2027-2-6  | public          |  |  |  || chinese_new_year
decree        | Holi-Phagwa                              | 2024-3-25 2025-3-14 2026-3-3 2027-3-22  | public          |  |  |  |
easter        | Goede Vrijdag                            | -2 gregorian         | public          |  |  |  |
easter        | Tweede Paasdag                           | 1 gregorian          | public          |  |  |  |
decree        | Ied-Ul-Fitre                             | 2024-4-10 2025-3-31 2026-3-20 2027-3-9  | public          |  |  |  |
fixed         | Dag van de Arbeid                        | 5 1                  | public          |  |  |  |
decree        | Ied-Ul-Adha                              | 2024-6-16 2025-6-7 2026-5-27 2027-5-16   | public          |  |  |  |
decree        | Keti Koti Dey                            | 2024-7-1             | public          |  |  |  |
fixed         | Dag der Inheemsen                        | 8 9                  | public          |  |  |  |
fixed         | Dag der Marrons                          | 10 10                | public          |  |  |  |
decree        | Divali                                   | 2024-10-31 2025-10-20 2026-11-08 2027-10-28 | public          |  |  |  |
fixed         | Onafhankelijkheidsdag                    | 11 25                | public          |  |  |  |
fixed         | Eerste Kerstdag                          | 12 25                | public          |  |  |  |
fixed         | Tweede Kerstdag                          | 12 26                | public          |  |  |  |
fixed | Dag der Vrijheden | 7 1 | public |  |  |  | 
