# civil-holidays v1
# jurisdiction: SS
# source: https://en.wikipedia.org/wiki/Public_holidays_in_South_Sudan
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it -- vacanza carries no native-language rendering for South Sudan, so
#   English (its official working language) is used as an honest fallback
#   rather than a fabricated translation; English lands only in
#   translations.tab, never in this column. Eid al-Fitr/al-Adha have no
#   closed-form rule modelled here and are captured as 'decree' (explicit
#   per-year dates, basis tabulated) for 2024-2025 -- silent outside those
#   years rather than fabricated. The Good Friday/Holy Saturday/Easter
#   Sunday/Easter Monday cluster's offsets from chronologia's own easter()
#   were independently confirmed to hold in both 2024 and 2025.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                        | 1 1 | public          |  |  |  |
fixed         | Peace Agreement Day                    | 1 9 | public          |  |  |  |
easter        | Good Friday                           | -2 | public          |  |  |  |
easter        | Holy Saturday                          | -1 | public          |  |  |  |
easter        | Easter Sunday                          | 0 | public          |  |  |  |
easter        | Easter Monday                          | 1 | public          |  |  |  |
decree        | Eid al-Fitr                           | 2024-4-10 2025-3-31 2026-3-20 2027-3-9 | public          |  |  |  |
fixed         | International Labour Day                | 5 1 | public          |  |  |  |
fixed         | SPLA Day                              | 5 16 | public          |  |  |  |
decree        | Eid al-Adha                           | 2024-6-16 2025-6-6 2026-5-27 2027-5-16  | public          |  |  |  || eid_al_adha
fixed         | Independence Day                       | 7 9 | public          |  |  |  |
fixed         | Martyrs' Day                          | 7 30 | public          |  |  |  |
fixed         | Christmas Eve                         | 12 24 | public          |  |  |  |
fixed         | Christmas Day                         | 12 25 | public          |  |  |  |
fixed         | Second Day of Christmas                 | 12 26 | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Eid al-Fitr Holiday | 2024-4-11 2025-4-1 | islamic |  |  |  | 
decree | Eid al-Adha Holiday | 2024-6-17 2025-6-7 | islamic |  |  |  | 
