# civil-holidays v1
# jurisdiction: TC
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Turks_And_Caicos_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_TC via vacanza's own language support (language='en_TC'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
nth_weekday | Commonwealth Day | 3 2 0 | public |  |  |  | 
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
nth_weekday | JAGS McCartney Day | 5 -1 0 | public |  |  |  | 
decree        | King's Birthday                          | 2024-6-17 2025-6-23 2026-6-8 2027-6-14  | public          |  |  |  |
fixed         | Emancipation Day                         | 8 1                  | public          |  |  |  |
nth_weekday | National Youth Day | 9 -1 4 | public |  |  |  | 
nth_weekday | National Heritage Day | 10 2 0 | public |  |  |  | 
decree        | National Day of Thanksgiving             | 2024-11-22 2025-11-28 2026-08-30 2027-08-29 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
