# civil-holidays v1
# jurisdiction: TL
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Timor_Leste
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in pt_TL via vacanza's own language support (language='pt_TL'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Dia de Ano Novo                          | 1 1                  | public          |  |  |  |
fixed         | Dia dos Veteranos                        | 3 3                  | public          |  |  |  |
easter        | Sexta-Feira Santa                        | -2 gregorian         | public          |  |  |  |
decree        | Idul Fitri                               | 2024-4-10 2025-3-31 2026-3-20 2027-3-9  | public          |  |  |  |
fixed         | Dia Mundial do Trabalhador               | 5 1                  | public          |  |  |  |
fixed         | Dia da Restauração da Independência      | 5 20                 | public          |  |  |  |
easter        | Festa do Corpo de Deus                   | 60 gregorian         | public          |  |  |  |
decree        | Idul Adha                                | 2024-6-17 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  |
fixed         | Dia da Consulta Popular                  | 8 30                 | public          |  |  |  |
fixed         | Dia de Todos os Santos                   | 11 1                 | public          |  |  |  |
fixed         | Dia de Todos os Fiéis Defuntos           | 11 2                 | public          |  |  |  |
fixed         | Dia Nacional da Mulher                   | 11 3                 | public          |  |  |  |
fixed         | Dia Nacional da Juventude                | 11 12                | public          |  |  |  |
fixed         | Dia da Proclamação da Independência      | 11 28                | public          |  |  |  |
fixed         | Dia da Memória                           | 12 7                 | public          |  |  |  |
fixed         | Dia de Nossa Senhora da Imaculada Conceição, padroeira de Timor-Leste | 12 8                 | public          |  |  |  |
fixed         | Dia de Natal                             | 12 25                | public          |  |  |  |
fixed         | Dia dos Heróis Nacionais                 | 12 31                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Feriados Nacionais (Especiais) | 2024-1-2 2024-2-14 2024-3-28 2024-10-31 2024-11-29 2024-12-24 2025-1-2 2025-1-29 2025-3-5 | government |  |  |  | 
decree | Celebrações do 25.º Aniversário da Consulta Popular | 2024-8-28 2024-8-29 | government |  |  |  | 
decree | Visita de Sua Santidade o Papa Francisco a Timor-Leste | 2024-9-9 2024-9-10 2024-9-11 | government |  |  |  | 
