# civil-holidays v1
# jurisdiction: TO
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Tonga
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in to via vacanza's own language support (language='to'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | ʻUluaki ʻAho ʻo e Taʻu Foʻou             | 1 1                  | public          |  |  |  |
easter        | Falaite Lelei                            | -2 gregorian         | public          |  |  |  |
easter        | Monite ʻo e Toetuʻu                      | 1 gregorian          | public          |  |  |  |
fixed         | ʻAho Anzac                               | 4 25                 | public          |  |  |  |
weekday_onbefore | ʻAho Tauʻataina (fakatokangaʻi) | 6 8 0 | public |  |  |  | 
fixed         | ʻAho ʻAloʻi ʻo ʻEne ʻAfio ko e Tuʻi ʻo Tonga ʻoku lolotonga Pule | 7 4                  | public          |  |  |  |
fixed         | ʻAho ʻAloʻi ʻo e ʻEa ki he Kalauni ʻo Tonga | 9 17                 | public          |  |  |  |
decree        | ʻAho Konisitutone                        | 2024-11-4 2026-11-2 2027-11-8            | public          |  |  |  |
weekday_onbefore | ʻAho Fakamanatu ʻo e Hilifaki Kalauni ʻo ʻEne ʻAfio ko Siaosi Tupou I (fakatokangaʻi) | 12 8 0 | public |  |  |  | 
fixed         | ʻAho Kilisimasi                          | 12 25                | public          |  |  |  |
fixed         | ʻAho 2 ʻo e Kilisimasi                   | 12 26                | public          |  |  |  |
weekday_onbefore | ʻAho Konisitutone (fakatokangaʻi) | 11 8 0 | public |  |  |  | 
