# civil-holidays v1
# jurisdiction: TT
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Trinidad_And_Tobago
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_TT via vacanza's own language support (language='en_TT'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
fixed         | Spiritual Baptist Liberation Day         | 3 30                 | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
decree        | Eid-Ul-Fitr                              | 2024-4-10 2025-3-31 2026-3-20 2027-3-9  | public          |  |  |  |
easter        | Corpus Christi                           | 60 gregorian         | public          |  |  |  |
fixed         | Indian Arrival Day                       | 5 30                 | public          |  |  |  |
fixed         | Labour Day                               | 6 19                 | public          |  |  |  |
fixed         | African Emancipation Day                 | 8 1                  | public          |  |  |  |
fixed         | Independence Day                         | 8 31                 | public          |  |  |  |
fixed         | Republic Day                             | 9 24                 | public          |  |  |  |
decree        | Divali                                   | 2024-10-31 2025-10-20 2026-11-08 2027-10-28 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Carnival Monday | 2024-2-12 2025-3-3 | optional |  |  |  | 
decree | Carnival Tuesday | 2024-2-13 2025-3-4 | optional |  |  |  | 
