# civil-holidays v1
# jurisdiction: TZ
# source: https://tanzanialaws.com/p/301-public-holidays-act (Public Holidays Ordinance, Cap. 35)
#   PRIMARY-VERIFIED against the Public Holidays Ordinance (Cap. 35, as
#   amended 1966) plus the presidentially-proclaimed Karume Day, Saba Saba
#   and Nyerere Day. The full 17-holiday set confirmed; Eid/Maulidi lunar
#   (decree).
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Mwaka Mpya                         | 1 1                 | public          |  |  |  |
fixed         | Mapinduzi ya Zanzibar              | 1 12                | public          |  |  |  |
easter        | Ijumaa Kuu                         | -2                  | public          |  |  |  |
fixed         | Siku ya kumbukumbu ya Rais wa Kwanza wa Serikali ya Mapinduzi Zanzibar Sheikh Abeid Amani Karume| 4 7                 | public          |  |  |  |
easter        | Jumatatu ya Pasaka                 | 1                   | public          |  |  |  |
decree        | Eid El-Fitri                       | 2024-4-10 2024-4-11 2025-3-31 2025-4-1 2026-3-21 2027-3-10| public          |  |  |  |
fixed         | Muungano wa Tanzania               | 4 26                | public          |  |  |  |
fixed         | Sikukuu ya Wafanyakazi Ulimwenguni | 5 1                 | public          |  |  |  |
decree        | Eid El Hajj                        | 2024-6-17 2025-6-7 2026-5-28 2027-5-17  | public          |  |  |  |
fixed         | Sabasaba                           | 7 7                 | public          |  |  |  |
fixed         | Sikukuu ya Wakulima                | 8 8                 | public          |  |  |  |
decree        | Maulidi                            | 2024-9-16 2025-9-4 2026-8-26 2027-8-15  | public          |  |  |  |
fixed         | Kumbukumbu ya Mwalimu Nyerere na Kilele cha mbio za Mwenge| 10 14               | public          |  |  |  |
fixed         | Uhuru na Jamhuri                   | 12 9                | public          |  |  |  |
fixed         | Kuzaliwa Kristo                    | 12 25               | public          |  |  |  |
fixed         | Siku ya Kupeana Zawadi             | 12 26               | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Sikukuu ya Pasaka | 2024-3-31 2025-4-20 | bank |  |  |  | 
