# civil-holidays v1
# jurisdiction: US
# source: https://en.wikipedia.org/wiki/Federal_holidays_in_the_United_States
#   (OPM list, 5 U.S.C. 6103; observed rule: Sat -> preceding Fri, Sun -> following Mon)
#   Juneteenth National Independence Day became a federal holiday only when the
#   Juneteenth National Independence Day Act was signed 17 June 2021 (see the
#   cited page), so its rule carries a "2021-" validity range.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# --- federal (public) holidays ---
fixed       | New Year's Day                       | 1 1     | public          |  | us
nth_weekday | Birthday of Martin Luther King, Jr.  | 1 3 0   | public          |  |
nth_weekday | Washington's Birthday                | 2 3 0   | public          |  |
nth_weekday | Memorial Day                         | 5 -1 0  | public          |  |
fixed       | Juneteenth National Independence Day | 6 19    | public          |  | us | 2021-
fixed       | Independence Day                     | 7 4     | public          |  | us
nth_weekday | Labor Day                            | 9 1 0   | public          |  |
nth_weekday | Columbus Day                         | 10 2 0  | public          |  |
fixed       | Veterans Day                         | 11 11   | public          |  | us
nth_weekday | Thanksgiving Day                     | 11 4 3  | public          |  |
fixed       | Christmas Day                        | 12 25   | public religious|  | us
#
# ==========================================================================
# STATE / TERRITORY LAYER (subdivisions)
# ==========================================================================
# All 50 states + DC and the five territories (AS, GU, MP, PR, VI) are the ISO
# 3166-2:US checklist (57 subdivisions). North Dakota (US-ND) and the US Minor
# Outlying Islands (US-UM) observe only the federal set, so they carry no
# beyond-federal rows -- honest silence, not an omission.
#
# SCOPE: each subdivision's holidays that fall BEYOND the federal set (a
# distinct date, or a state-renamed observance the state fixes by its own
# statute). Same-date federal renames (a state's "Presidents' Day" for the
# federal Washington's Birthday) are carried too, as the state's own named
# rule. Weekend in-lieu "(observed)" days are NOT modelled here: whether a
# state grants the Friday-before / Monday-after varies by employer and year,
# and the nominal statutory date is the firm datum -- future data.
#
# SOURCES: the distinctive holidays are grounded in each state's own government
# page (primary), cross-checked one-for-one against vacanza/holidays 0.101
# (MIT) for the 57-subdivision checklist and the long-tail dates. Primary
# state citations for the twenty most distinctive:
#   Texas Independence Day / San Jacinto Day / Confederate Memorial Day (Jan 19)
#     / LBJ Day / Emancipation Day in Texas -- Texas Gov't Code sec. 662.003
#     (statutory & optional holidays), https://statutes.capitol.texas.gov/Docs/GV/htm/GV.662.htm
#   Patriots' Day (MA) -- Mass. Gen. Laws ch.6 sec.12J, https://malegislature.gov/Laws/GeneralLaws/PartI/TitleI/Chapter6/Section12J
#   Patriots' Day (ME) -- Maine Rev. Stat. tit.1 sec.1051, https://legislature.maine.gov/statutes/1/title1sec1051.html
#   Pioneer Day (UT) -- Utah Code sec.63G-1-301, https://le.utah.gov/xcode/Title63G/Chapter1/63G-1-S301.html
#   Cesar Chavez Day (CA) -- Cal. Gov't Code sec.6700, https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=6700&lawCode=GOV
#   Mardi Gras (LA) -- La. Rev. Stat. sec.1:55, https://legis.la.gov/legis/Law.aspx?d=321848
#   Nevada Day (NV) -- Nev. Rev. Stat. sec.236.015, https://www.leg.state.nv.us/nrs/nrs-236.html
#   Seward's Day / Alaska Day (AK) -- Alaska Stat. sec.44.12.010, http://www.akleg.gov/basis/statutes.asp#44.12.010
#   Kamehameha Day / Prince Kuhio Day / Statehood Day (HI) -- Haw. Rev. Stat. sec.8-1..8-5, https://www.capitol.hawaii.gov/hrscurrent/Vol01_Ch0001-0042F/HRS0008/
#   West Virginia Day (WV) -- W.Va. Code sec.2-2-1, https://code.wvlegislature.gov/2-2-1/
#   Truman Day (MO) -- Mo. Rev. Stat. sec.9.010, https://revisor.mo.gov/main/OneSection.aspx?section=9.010
#   Emancipation Day (DC) -- DC Official Code sec.1-612.02, https://code.dccouncil.gov/us/dc/council/code/sections/1-612.02
#   Bennington Battle Day / Town Meeting Day (VT) -- 1 V.S.A. sec.371, https://legislature.vermont.gov/statutes/section/01/007/00371
#   Casimir Pulaski Day (IL) -- 5 ILCS 490/65, https://www.ilga.gov/legislation/ilcs/ilcs4.asp?ActID=176
#   Confederate Memorial Day / Jefferson Davis Birthday (AL) -- Ala. Code sec.1-3-8, https://law.justia.com/codes/alabama/title-1/chapter-3/section-1-3-8/
#   Arbor Day (NE) -- Neb. Rev. Stat. sec.25-2221, https://nebraskalegislature.gov/laws/statutes.php?statute=25-2221
#   Puerto Rico Constitution Day / Emancipation Day (PR) -- 1 LPRA sec.71
#   Guam Discovery Day / Liberation Day (GU) -- 1 GCA sec.1000
#   American Samoa Flag Day (AS) -- ASCA sec.1.0501
#   Victory Day (RI) -- R.I. Gen. Laws sec.25-1-1, http://webserver.rilegislature.gov/Statutes/TITLE25/25-1/25-1-1.HTM
# REFERENCE-ATTRIBUTED ROWS (vacanza/holidays 0.101, MIT -- no readily citable
# standalone primary page found, so the date is taken from the reference and
# marked here): all remaining long-tail subdivision rows (the federal-rename
# "Presidents'/Washington/Lincoln" third-Monday variants; "Day/Friday After
# Thanksgiving" and its named cousins State Holiday GA / Family Day NV / Native
# American Heritage Day WA / American Indian Heritage Day MD; Christmas Eve /
# New Year's Eve / Day After Christmas full-day state closures KS/MI/NC/TX/WI;
# Good Friday state closures; Election Day; the CNMI/Guam/Virgin-Islands
# territorial observances; Frances Xavier Cabrini Day CO; Susan B. Anthony Day).
#
# Election Day is modelled as a biennial decree (even-year general election,
# the Tuesday after the first Monday of November) for states that observe it
# only in general-election years, and as an every-year nth_weekday rule for
# Indiana and New York, which the reference lists in odd years too.
# --- US-AK ---
nth_weekday | Martin Luther King Jr.'s Birthday | 1 3 0 | public | US-AK |
nth_weekday | Presidents' Day | 2 3 0 | public | US-AK |
nth_weekday | Seward's Day | 3 -1 0 | public | US-AK |
nth_weekday | Indigenous Peoples' Day | 10 2 0 | public | US-AK |
fixed       | Alaska Day | 10 18 | public | US-AK |
# --- US-AL ---
nth_weekday | Martin Luther King, Jr & Robert E. Lee's Birthday | 1 3 0 | public | US-AL |
nth_weekday | George Washington & Thomas Jefferson's Birthday | 2 3 0 | public | US-AL |
nth_weekday | Confederate Memorial Day | 4 4 0 | public | US-AL |
nth_weekday | Jefferson Davis Birthday | 6 1 0 | public | US-AL |
nth_weekday | Columbus Day / American Indian Heritage Day / Fraternal Day | 10 2 0 | public | US-AL |
# --- US-AR ---
nth_weekday | George Washington's Birthday and Daisy Gatson Bates Day | 2 3 0 | public | US-AR |
# --- US-AS ---
fixed       | American Samoa Flag Day | 4 17 | public | US-AS |
fixed       | Manu'a Islands Cession Day | 7 16 | public | US-AS |
nth_weekday | White Sunday | 10 2 6 | public religious | US-AS |
# --- US-AZ ---
nth_weekday | Dr. Martin Luther King Jr. / Civil Rights Day | 1 3 0 | public | US-AZ |
nth_weekday | Lincoln/Washington Presidents' Day | 2 3 0 | public | US-AZ |
# --- US-CA ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-CA |
fixed       | Susan B. Anthony Day | 2 15 | public | US-CA |
fixed       | Cesar Chavez Day | 3 31 | public | US-CA |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-CA |
# --- US-CO ---
nth_weekday | Washington-Lincoln Day | 2 3 0 | public | US-CO |
fixed       | Cesar Chavez Day | 3 31 | public | US-CO |
nth_weekday | Frances Xavier Cabrini Day | 10 1 0 | public | US-CO |
# --- US-CT ---
fixed       | Lincoln's Birthday | 2 12 | public | US-CT |
easter      | Good Friday | -2 | public religious | US-CT |
# --- US-DC ---
fixed       | Emancipation Day | 4 16 | public | US-DC |
nth_weekday | Indigenous Peoples' Day | 10 2 0 | public | US-DC |
# --- US-DE ---
easter      | Good Friday | -2 | public religious | US-DE |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-DE |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-DE |
# --- US-FL ---
fixed       | Susan B. Anthony Day | 2 15 | public | US-FL |
nth_weekday | Friday After Thanksgiving | 11 4 3 1 | public | US-FL |
# --- US-GA ---
# Georgia names two distinct dates "State Holiday": Good Friday and the day
# after Thanksgiving (it does not gazette either under its own name).
easter      | State Holiday | -2      | public | US-GA |
nth_weekday | State Holiday | 11 4 3 1 | public | US-GA |
# --- US-GU ---
nth_weekday | Guam Discovery Day | 3 1 0 | public | US-GU |
easter      | Good Friday | -2 | public religious | US-GU |
fixed       | Liberation Day (Guam) | 7 21 | public | US-GU |
fixed       | All Souls' Day | 11 2 | public religious | US-GU |
fixed       | Lady of Camarin Day | 12 8 | public religious | US-GU |
# --- US-HI ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-HI |
fixed       | Prince Jonah Kuhio Kalanianaole Day | 3 26 | public | US-HI |
fixed       | Kamehameha Day | 6 11 | public | US-HI |
nth_weekday | Statehood Day | 8 3 4 | public | US-HI |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-HI |
# --- US-IA ---
fixed       | Lincoln's Birthday | 2 12 | public | US-IA |
# --- US-ID ---
nth_weekday | Martin Luther King Jr. / Idaho Human Rights Day | 1 3 0 | public | US-ID |
nth_weekday | Presidents' Day | 2 3 0 | public | US-ID |
# --- US-IL ---
fixed       | Lincoln's Birthday | 2 12 | public | US-IL |
nth_weekday | Casimir Pulaski Day | 3 1 0 | public | US-IL |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-IL |
# --- US-IN ---
easter      | Good Friday | -2 | public religious | US-IN |
nth_weekday | Primary Election Day | 5 1 0 1 | public | US-IN |
nth_weekday | Election Day | 11 1 0 1 | public | US-IN |
nth_weekday | Lincoln's Birthday | 11 4 3 1 | public | US-IN |
# --- US-KS ---
fixed       | Christmas Eve | 12 24 | public religious | US-KS |
# --- US-KY ---
easter      | Good Friday | -2 | public religious | US-KY |
fixed       | New Year's Eve | 12 31 | public | US-KY |
