# civil-holidays v1
# jurisdiction: VE
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Venezuela
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Año Nuevo                          | 1 1                 | public          |  |  |  |
easter        | Lunes de Carnaval                  | -48                 | public          |  |  |  |
easter        | Martes de Carnaval                 | -47                 | public          |  |  |  |
easter        | Jueves Santo                       | -3                  | public          |  |  |  |
easter        | Viernes Santo                      | -2                  | public          |  |  |  |
fixed         | Declaración de la Independencia    | 4 19                | public          |  |  |  |
fixed         | Dia Mundial del Trabajador         | 5 1                 | public          |  |  |  |
fixed         | Batalla de Carabobo                | 6 24                | public          |  |  |  |
fixed         | Día de la Independencia            | 7 5                 | public          |  |  |  |
fixed         | Natalicio de Simón Bolívar         | 7 24                | public          |  |  |  |
fixed         | Día de la Resistencia Indígena     | 10 12               | public          |  |  |  |
fixed         | Nochebuena                         | 12 24               | public          |  |  |  |
fixed         | Día de Navidad                     | 12 25               | public          |  |  |  |
fixed         | Fiesta de Fin de Año               | 12 31               | public          |  |  |  |
fixed         | Día de la Familia                  | 5 15                | public          |  |  |  |
decree        | Canonización de José Gregorio Hernández y la Madre Carmen Rendiles| 2025-10-19 2025-10-20| public          |  |  |  |
