# civil-holidays v1
# jurisdiction: VG
# source: https://en.wikipedia.org/wiki/Public_holidays_in_British_Virgin_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_VG via vacanza's own language support (language='en_VG'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
nth_weekday | The Anniversary of the Birth of Hamilton Lavity Stoutt | 3 1 0 | public |  |  |  | 
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
easter        | Whit Monday                              | 50 gregorian         | public          |  |  |  |
nth_weekday | Sovereign's Birthday | 6 2 4 | public |  |  |  | 
nth_weekday | Virgin Islands Day | 7 1 0 | public |  |  |  | 
nth_weekday | Emancipation Monday | 8 1 0 | public |  |  |  | 
nth_weekday | Emancipation Tuesday | 8 1 0 1 | public |  |  |  | 
nth_weekday | Emancipation Wednesday | 8 1 0 2 | public |  |  |  | 
nth_weekday | Heroes and Foreparents Day | 10 3 0 | public |  |  |  | 
weekday_onbefore | The Great March of 1949 and Restoration Day | 11 25 0 | public |  |  |  | 
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
