# civil-holidays v1
# jurisdiction: XNAS
# source: https://web.archive.org/web/20250101000000*/https://www.nasdaqtrader.com/Trader.aspx?id=Calendar
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), financial.nasdaq -- an independent
#   open-source reference maintained against Nasdaq's own published
#   trading-calendar rules.
#   XNAS is a FINANCIAL MARKET jurisdiction, not an ISO-3166-1 country: it is
#   the Nasdaq Stock Market's trading-holiday calendar. English is correct
#   as the primary name here -- Nasdaq publishes its calendar in English,
#   and the calendar belongs to an exchange, not a country with its own
#   official language.
#   XNAS's ten rule-shaped closures are date-for-date identical to XNYS's
#   (same `us` observed-shift policy: Saturday observed the preceding
#   Friday, Sunday observed the following Monday -- 5 U.S.C. 6103, already
#   used for US.tab and XNYS's own file). The one difference is the one-off
#   "National Day of Mourning for former President Jimmy Carter"
#   (2025-01-09, a Thursday) that XNYS also observed but is not a
#   permanent rule -- modelled here as `one_off`, matching XCME's file.
#   Every rule verified against vacanza 0.101 output for 2024, 2025 and 2026
#   (2026 exercises the `us` observed shift: 4 Jul 2026 is a Saturday, so
#   Independence Day is observed Fri 3 Jul 2026).
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed       | New Year's Day                       | 1 1    | public          | | us |      |
nth_weekday | Martin Luther King Jr. Day            | 1 3 0  | public          | |    |      |
nth_weekday | Washington's Birthday                 | 2 3 0  | public          | |    |      |
easter      | Good Friday                           | -2     | public religious | |  |      |
nth_weekday | Memorial Day                          | 5 -1 0 | public          | |    |      |
fixed       | Juneteenth National Independence Day  | 6 19   | public          | | us | 2022- |
fixed       | Independence Day                      | 7 4    | public          | | us |      |
nth_weekday | Labor Day                             | 9 1 0  | public          | |    |      |
nth_weekday | Thanksgiving Day                      | 11 4 3 | public          | |    |      |
fixed       | Christmas Day                         | 12 25  | public religious | | us |      |
one_off     | National Day of Mourning for former President Jimmy Carter | 2025 1 9 https://www.nasdaqtrader.com/Trader.aspx?id=Calendar | public | |  |  |
