# civil-holidays v1
# jurisdiction: ZA
# source: https://www.gov.za/documents/public-holidays-act
#   PRIMARY-VERIFIED against the Public Holidays Act 36 of 1994 (Schedule;
#   s.2(1): a public holiday falling on a Sunday moves to the following
#   Monday). All 12 statutory public holidays confirmed; observed Monday
#   shifts and the 2024 election day modelled as decree.
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                     | 1 1                 | public          |  |  |  |
fixed         | Human Rights Day                   | 3 21                | public          |  |  |  |
easter        | Good Friday                        | -2                  | public          |  |  |  |
easter        | Family Day                         | 1                   | public          |  |  |  |
fixed         | Freedom Day                        | 4 27                | public          |  |  |  |
fixed         | Workers' Day                       | 5 1                 | public          |  |  |  |
fixed         | Youth Day                          | 6 16                | public          |  |  |  |
fixed         | National Women's Day               | 8 9                 | public          |  |  |  |
fixed         | Heritage Day                       | 9 24                | public          |  |  |  |
fixed         | Day of Reconciliation              | 12 16               | public          |  |  |  |
fixed         | Christmas Day                      | 12 25               | public          |  |  |  |
fixed         | Day of Goodwill                    | 12 26               | public          |  |  |  |
decree        | National and Provincial Government Elections| 2024-5-29           | public          |  |  |  |
decree        | Youth Day (observed)               | 2024-6-17           | public          |  |  |  |
decree        | Freedom Day (observed)             | 2025-4-28           | public          |  |  |  |
